headlines,date
FlexShares STOXX US ESG Impact Index ETF (ESG) December Summary,01-04-17
Sellers on Amazon are Thriving: Fulfillment by Amazon Delivered More than 2 Billion Items for Sellers Worldwide in 2016,01-04-17
Intel Says Working With Peers to Resolve Chip Issue That Makes Devices Vulnerable to Attack,01-04-18
OPTIONS: Option Implied Volatility into CES Conference 2019,01-04-19
VanEck Vectors Morningstar Wide Moat ETF (MOAT) December Summary,01-04-18
Amazon.com Fulfills 2 Billion Orders For Third Parties In 2016,01-04-17
"Amazon Says in Report it's Helped Create More Than 600,000 Jobs Worldwide",01-04-17
Slew of Downgrades Hit Tech Sector,01-04-16
Fulfillment by Amazon records 2B 2016 deliveries,01-04-17
Sector Update: Technology Stocks Mostly Higher In Pre-Market Trade,01-04-17
Analyst Actions: Amazon Downgraded to Neutral Rating at Monness Crespi Hardt; Shares Lose 3% in Pre Market,01-04-16
Futures Edge Higher as December FOMC Minutes Eyed,01-04-17
Tech giants scurry to patch chip flaws; Intel -2.6%,01-04-18
"US Stock Indexes Higher in Early Trading on Rising Oil, Expectations For Bullish FOMC Minutes",01-04-17
Brick-and-mortar play by Amazon in Germany?,01-04-20
Oppenheimer Large Cap Revenue ETF (RWL) December Summary,01-04-18
Amazon Go seen generating huge sales,01-04-19
Amazon.com Integrating Fire TV Software into TVs Made by Tongfang,01-04-17
"Alexa can now control microwaves, ovens; Amazon invests in smart oven startup",01-04-18
"Analyst Actions: Goldman Sachs Cuts Amazon Price Target to $2,000",01-04-19
"Market Chatter: Amazon.com Develops Clothing Line, Prepares To Build Private Label Activewear Brands",01-04-17
MT Newswires' Analyst Notebook: AMZN,01-04-16
Reuters: Amazon among possible American Apparel bidders,01-04-17
Report: More than 100M devices featuring Alexa have been sold,01-04-19
Market Chatter: Amazon.com Said Among Firms Mulling Bid For American Apparel,01-05-17
CES takes center stage,01-05-17
Pre-Market Briefing: US Futures Flat to Lower; Amazon Said to Mull Offer For American Apparel,01-05-17
"Macy's, Kohl's Cut 2016 Profit Guidance After Reporting Weak Holiday Sales",01-05-17
Amazon Said Among Firms Mulling Bid For Bankrupt Retailer American Apparel,01-05-17
Alexa Helps Get Dinner on the Table Easier: Amazon Restaurants Adds Voice Ordering to its Service,01-05-17
S&P 500 Expected by Goldman Sachs to Climb 7% in 2018; Firm Sees 2018 Total Return at 9%,01-05-18
Amazon volume hits 2B in 2014,01-05-15
Sellers on Amazon Cap off Big Year with More Than 40 Percent Growth on Cyber Monday,01-05-16
"Amazon.com Reports More Than 23 Million Items Ordered On Cyber Monday, More Than 1 Billion Items Delivered In 2015",01-05-16
Amazon in talks for Premier League streaming rights,01-05-18
Sector Update: Consumer,01-05-16
Sector Update: Consumer Stocks Mixed Pre-Bell,01-05-16
CBS All Access Now Available On Amazon Channels,01-05-18
Amazon plans Manhattan bookstore,01-05-17
Department stores ground zero for retail shellacking,01-05-17
"Amazon reports strong third-party sales, FBA, and sponsored ad metrics",01-05-16
Market Chatter: Amazon.com to Open Store in Manhattan,01-05-17
CBS adds ad-light live streaming service to Amazon Channels,01-05-18
Amazon announces dev kit to bring Alexa to wearables,01-05-18
"--Analyst Actions: Citigroup Lifts PT on Amazon From $1,250 to $1,400",01-05-18
"S&P 500 Movers: Kohl's Tumbles 20%, Leads Losers; Alexion Pharmaceutical Up 10%",01-05-17
Market Chatter: Amazon.com Said to be Planning Bid for Premier League Coverage Rights - Shares Hit Record,01-05-18
Alphabet's Google Sells 'Tens of Millions' of Home Devices in 2017,01-05-18
"Shopify Products to Be Listed, Sold Directly on Amazon",01-05-17
Tech giants prep for legal fight against FCC's rule repeal,01-05-18
Vuzix closes +18.6% on news of Alexa-enabled smart glasses,01-05-18
"Vuzix Ends Up 18%, Co to Unveil Alexa-Enabled Smart Glasses",01-05-18
Shopify integrates merchants with Amazon,01-05-17
Market Chatter: Amazon Expected to Be Biggest Free Cash Generator in US Within Five Years,01-06-20
Market Chatter: Amazon Mulls Opening Stores in Germany,01-06-20
"Market Chatter: Amazon, Microsoft Feud Stirs Cloud Wars",01-06-20
"Amazon, India's Future Retail Expand Sales Partnership",01-06-20
"Amazon, Future Retail form e-commerce agreement",01-06-20
VOXX Automotive Corp. and Amazon Join Forces to Bring Fire TV to the Automotive Market,01-06-20
Amazon Fire TV Introduces Expanded Suite of Features and New Solution Providers for Fire TV Edition Partners,01-06-20
Stocks to watch next week,01-06-18
"Covered Call Alerts For First Solar, Amazon.com, AbbVie, Nike and Rite Aid Released By InvestorsObserver",01-06-16
"Annapurna Labs, an Amazon Company, Announces Availability of Home Network and Storage Platform-on-Chip and Subsystem Solutions",01-06-16
Amazon.com's Fire TV Reaches More Than 40 Million Active Users; Expands Fire TV Edition Program,01-06-20
"Amazon Fire TV expands, passes 40M users",01-06-20
Amazon Alexa in spotlight at CES 2017,01-06-17
"Amazon, ExxonMobil bring Alexa to gas payments",01-06-20
"Amazon, Exxon Mobil bring Alexa to gas payments",01-06-20
"Strong Year for Enterprise Software Sector Coming as Digital Transformation Continues, RBC Says",01-06-20
"Alexa coming to Lamborghini, Rivian vehicles",01-06-20
Rackspace closes down 7.2% following AWS price cut,01-06-16
"Amazon unit begins selling CPUs for home gateways, Wi-Fi routers",01-06-16
Amazon Web Services Launches Korean Datacenters for Its Cloud Computing Platform,01-06-16
"Samsung Hops Aboard Smart Speaker, AR Glasses Hype Trains",01-07-20
Amazon Shows Off Big Automotive Ambitions for Alexa at CES,01-07-20
France and US seek to resolve digital tax dispute,01-07-20
Plug Power’s stock soars on fuel cell contract win,01-07-20
BlackBerry Teams Up With AWS for Connected Vehicle Platform,01-07-20
NETGEAR Boosts Orbi Portfolio With 4G Backed WiFi Solutions,01-07-20
iQIYI's Overseas Expansion to Stir Up Streaming Competition,01-07-20
"Fred Armisen Writes and Performs Portlandia Audio Tie-In, Available Exclusively on Audible",01-07-16
Amazon's Offline Retail Store Plan to Boost Germany Presence,01-07-20
Amazon Bolsters In-Vehicle Entertainment Reach With Fire TV,01-07-20
Ambarella-Lumentum-ON to Jointly Provide 3D Sensing Platform,01-07-20
"Analyst Actions: Pivotal Starts Amazon.com With Buy Rating, $1920 Price Target",01-07-19
Walmart Widens Assortments With SmileDirectClub's Products,01-07-20
"Stock Market News for Jan 7, 2020",01-07-20
Facebook Bans Deepfake Videos Ahead of 2020 US Elections,01-07-20
"Amazon.com's Alexa to be Offered in Lamborghini, Rivian Vehicles, Fire TV in BMW, Fiat",01-07-20
Samsung Arrives Late to Smart Speaker Party With Galaxy Home Mini,01-07-20
Retail execs head to ICR Conference amid seismic shifts,01-07-17
Samsung Galaxy Home Mini coming soon,01-07-20
Netflix Shares Up Near 6% on Golden Globes Dominance,01-07-19
Market Chatter: Fox Sports Submits 'Aggressive' Bid For NFL Thursday Games: TheStreet.com,01-07-16
"Cloud Security Players to Benefit From Move to Cloud in 2020 After Amazon, Azure Enterprise Cloud Success, Says Wedbush",01-07-20
"Ring launches smart peephole, security lights",01-07-19
The Promise Of On-The-Go Last-Mile Delivery Models,01-07-20
Market Chatter: Amazon Says More Than 100 Million Devices with Alexa Sold,01-07-19
Google Says Over 500 Million People Use Its Assistant Monthly,01-07-20
"Key by Amazon Introduces New Products and Services to Expand Its Secure, Convenient Keyless Entry Offerings for Customers",01-07-19
Perishable food play from Amazon,01-07-19
Top Performing ETFs of the Decade,01-07-20
"Amazon Key comes to Ring, garages, businesses",01-07-19
"Smart Appliances, Sleep Tracking Pillows and Plans for Motorcycle-Riding Robot on Display at CES 2016",01-07-16
CIOs prefer Azure over AWS in Goldman survey,01-07-20
CBRE picks N. Va. for coworking concept's East Coast debut,01-07-20
"FedEx: The Good, the Bad and the Ugly",01-07-20
"Google Assistant, Amazon Alexa Clash At The CES 2020 Debut",01-07-20
"Resideo Technologies Unveils Honeywell Home T9, T10 Pro Smart Thermostats at CES 2019",01-07-19
Don't Make Me Carry Furniture: Pier 1 Imports on the Way to Bankruptcy After 3rd-Quarter Loss,01-07-20
"Amazon, Intel and Ford Want to Harvest Your Data While You Drive",01-07-20
Alibaba doubles office space in Bellevue,01-07-20
Exclusive: Amazon Web Services purchases site of planned data center in Santa Clara for $100M,01-07-20
3 Cheap Tech Stocks Under $10 to Buy for 2020,01-07-20
Alibaba undercuts Amazon in Europe to woo wary brands,01-07-20
"Trump’s China Tech Spat Is About Taking 5G Lead, French CEO Says",01-08-20
Alibaba Tries To Take Over Amazon In Europe,01-08-20
Amazon's vision for HQ2 security extends well beyond its perimeter,01-08-20
Security robots' may guard HQ2,01-08-20
Project update: Amazon pulls plans for Colonie warehouse,01-08-20
Cash in the chips: 2020’s semiconductor recovery,01-08-20
Amazon acquiring cloud migration startup?,01-08-19
"Pier 1 plans to shutter nearly half its stores, but analysts say bankruptcy is likely",01-08-20
Alibaba's push into Europe yielding mixed results - Reuters,01-08-20
Alphabet (GOOGL) Waymo's 20-Million Miles Mark New Milepost,01-08-20
Consumer Demand for Fast and Secure Digital Payment Solutions is Finally Being Met,01-08-19
"Option-trade ideas on Amazon.com, Bank of America, General Electric, Intel, and Roku Inc.",01-08-19
Molex Teams Up With Accenture and Amazon Web Services to Co-Develop Edge Computing Solution for Next-Generation Self-Driving Cars,01-08-19
Bed Bath & Beyond – Bouncing Back Or Going Further Down?,01-08-20
SiriusXM (SIRI) Reaches More Than 30M Subscribers in 2019,01-08-20
Report: Amazon's free sample ad strategy,01-08-19
It's Time To Take A Second Look At The Music Streaming King,01-08-20
Stock Indexes Higher for Third Straight Session on Optimism Over US-China Trade Deal,01-08-19
Macy's Still Has a Lot of Work to Do,01-08-20
[video]Amazon and Google Both Have Long-Term Incentives to Bet Big on Voice Assistants,01-08-20
Amazon is said to be preparing a luxury fashion platform,01-08-20
"Market Chatter: Alibaba Group Enters European Market, Waives Monthly Fees To Attract Vendors",01-08-20
"Buy Mastercard and Visa, Analyst Says. They Are in ‘Rarefied Air’ Among Stocks.",01-08-20
Amazon lines up 10th Nashville distribution deal,01-08-20
Apple Watch control coming to Whirlpool appliances; KeyBanc sees poor iPhone X sales,01-08-18
4 Stocks Your Financial Advisor Is Looking To Buy Now,01-08-20
Sonos CEO to testify before House antitrust panel,01-08-20
Market Chatter: Amazon Expected to Buy Israeli Cloud Computing Company CloudEndure,01-08-19
"Market Chatter: Amazon.com Employing New Ad Strategy, Turning Free Samples Into Targeted Ads",01-08-19
Stocks Climbs for Third Straight Day as US-China Trade Negotiations Bolster Sentiment,01-08-19
Amazon Onboard brings Alexa to cars with or without internet,01-08-18
Amazon’s Ring Fired Staff for Trying to Access Customer Data,01-08-20
Sources: First sublease at Rainier Square inked,01-08-20
What's normal for profit margin in retail sector?,01-08-20
Wall Street strategists look to unearth the next ‘Fangs’,01-08-20
"Market Chatter: TiVo Streaming App for Roku, Apple TV 'in Limbo'",01-09-20
"Bull of the Day: Tempur Sealy International, Inc. (TPX)",01-09-20
Kohl’s needs more than an Amazon partnership to grow sales,01-09-20
Public Tech Displaces Private Unicorns as Market Stars,01-09-20
Microsoft Pushes Cloud Services to Retailers Anxious to Avoid Amazon,01-09-20
Streaming Competition Intensifies as TiVO Jumps on Bandwagon,01-09-20
"Alphabet Charged by Sono for Patent Violation, Files Suit",01-09-20
"Tempur Sealy, Fiat Chrysler Automobiles, Spotify, Apple and Amazon highlighted as Zacks Bull and Bear of the Day",01-09-20
Amazon still growing US market share - Piper,01-09-19
Piper Jaffray sees 12% upside for Amazon,01-09-18
"Jon Hamm, Rhea Seehorn, Andy Richter and a Full Cast Perform Stinker Lets Loose! for Audible",01-09-18
Bed Bath & Beyond Stock Is Plunging After Earnings. Here’s Why.,01-09-20
Analyst Actions: Microsoft Receives Boost to Price Target From Wedbush; Firm Cites Confidence in Bullish Thesis After Checks,01-09-20
Grubhub (GRUB) Could be on Sale: Is Amazon a Potential Buyer?,01-09-20
"IBM Q Network Expands Base, Collaborates With Delta Air Line",01-09-20
Not Even Amazon or the Olsen Twins Can Save Kohl's,01-09-20
Bed Bath & Beyond's 3rd-Quarter Results Lag Projections,01-09-20
Retail watch: Holiday season winners and losers,01-09-16
"Main Street's Index, the BetterInvesting 100, Increased 11.5% a Year for 10 Years Through December, Beating Its S&P Benchmark",01-09-18
"Wix, SVB Financial up on additions to BofA's top picks",01-09-20
"Barclays Says Make Software Picks Based on Individual Stories With Salesforce, Microsoft Offering Growth",01-09-19
Roomba Maker Developing Robot With Arms That May Do the Dishes,01-09-20
"Market Chatter: Walmart, Other Grocers Mulling Acquisition of GrubHub",01-09-20
"Analyst Actions: Amazon.com Reiterated at Piper Jaffray at Overweight, With TP Lifted to $1,400 From $1,200",01-09-18
Holiday 2016 spending trends,01-09-17
"Uber Holds ""Unique Position"" as a Potential Suitor for GrubHub, Says Morgan Stanley",01-09-20
Toyota Motor Corp. Says to Launch Amazon's Alexa In Select Toyota and Lexus Models,01-09-18
"Analyst Actions: JPMorgan Sees Amazon.com as Best Idea for 2019, Reaffirms Overweight, PT $2,100 - Stock Steady",01-09-19
"Analyst Actions: Piper Jaffray Ups Amazon.com Price Target to $1,400, Keeps Overweight - Stock Firm",01-09-18
Market Chatter: Netflix Rival Canal Plus to Relaunch Streaming Service This Spring; Hulu CEO Says 'Absolutely Possible' to Catch Netflix,01-09-19
Wedbush Says Azure Looks Strong In Cloud Battle Versus AWS,01-09-20
Applied Optoelectronics Pressured on Report of Possible Loss of Business to China Rival,01-09-18
SNACS: The FAANG Of The Roaring 20s,01-09-20
Amazon Web Services reportedly acquires data security startup Harvest.ai,01-09-17
"Market Chatter: Amazon.com Firm, Cloud Services Unit Reportedly Buys harvest.ai",01-09-17
Bed Bath & Beyond's Stock Plunges With Hard Times On The Horizon,01-09-20
Sector Update: Consumer Stocks Turn Mixed This Afternoon,01-09-18
Sohn sees four stocks breaking out in 2020,01-09-20
Amazon hires Disney vet for Gadgets,01-09-19
"Bernstein's big tech look favors Facebook, Alphabet, Snap",01-09-20
AWS Announces Amazon DocumentDB (with MongoDB Compatibility),01-09-19
Reliance takes on Amazon and Walmart in India with JioMart,01-09-20
The three biggest takeaways from CES 2020,01-10-20
Child sex scandal sparks soul-searching in France,01-10-20
[video]Microsoft's Cloud Momentum Is Starting to Turn More Heads,01-10-20
Further reading,01-10-20
Could the Bezos divorce impact Amazon shareholders?,01-10-19
"Jobs Report, Wall Street Records, Boeing, Grubhub and Amazon - 5 Things You Must Know Friday",01-10-20
Pre-Market Briefing: US Equities Eye Flat Open; Trump Names Son-in-Law Kushner as Senior Advisor,01-10-17
Amazon invests further in warehouse robotics,01-10-19
Top 2019 Stock Picker Spotted Under-the-Radar Tech,01-10-20
Market Chatter: Gildan Activewear Said to Win American Apparel Auction With $88 Mln Bid,01-10-17
Amazon explores streaming TV ad expansion,01-10-20
TV petrolhead James May on the slow joys of woodworking,01-10-20
"Shopping Local on Amazon: More than 300,000 U.S.-based Small and Medium-Sized Businesses Started Selling on Amazon in 2017",01-10-18
Amazon Buys CloudEndure for Undisclosed Amount; Stock Falls 1% in Pre-Market,01-10-19
Market Chatter: Amazon Reportedly Mulls Selling Streaming TV Ads Outside of Fire TV,01-10-20
Where does Amazon’s Alexa get her news from?,01-10-20
‘Late Capitalism’? Not Even Close,01-10-20
Google Quietly Expands in New York in Wake of Amazon’s Stumble,01-10-20
"Catalog & Mail Order Houses Stocks on Investors' Radar -- Vipshop, Amazon.com, QVC Group, and Wayfair",01-10-17
Update: Gildan Activewear Confirms it Won American Apparel Auction With $88 Mln Bid,01-10-17
"Amazon To Release Echo Auto In India, As It Eyes Asia Expansion",01-10-20
"Snapchat Picks London for Its International Headquarters, Defying Brexit Fears",01-10-17
Target is taking the market share in women’s clothing that Kohl’s is losing,01-10-20
Amazon Gets Warrants To Acquire 29% For Balyo If It Orders $345 Million In French Forklifts,01-10-19
"Flying Cars to Takeoff Soon: UBER, GOOGL, INTC are Prototyping",01-10-20
Amazon comes for MongoDB; MDB -15%,01-10-19
JC Penney Stock Down More Than 10% on Dismal Holiday Sales,01-10-20
"Amazon Dash Replenishment Program Continues to Grow, Adding New Device Manufacturers and Auto-Replenishment Products",01-10-18
"Amazon Prime Video Launches Original Kids Series Ronja, the Robber’s Daughter on January 27 in the US and UK",01-10-17
Retail sector bruising after disappointing guidance updates,01-10-19
"Analyst Actions: Bernstein Initiates Coverage on Amazon.com With Market Perform Rating, $2,050 Price Target",01-10-20
"Thinking about trading options or stock in Applied Materials, Amazon.com, Baidu, Lam Research, or NVIDIA?",01-10-20
Amazon-owned Whole Foods to close Triangle facility – impacting 100 workers,01-10-20
Retail declines extend from malls to online,01-10-19
Microsoft Ups the Game in Retail Services With New Offerings,01-10-20
"The Zacks Analyst Blog Highlights: Grubhub, Amazon, Alphabet and Uber",01-10-20
Market Chatter: Alphabet's Google Said Ready to Pay Up to EUR 280 Mln to Settle Italian Tax Probe,01-10-17
IMDb Launches Freedive – A Free Streaming Video Channel Featuring Hit Movies and TV Shows,01-10-19
Why Sonos Has Already Lost Its Patent Suit Against Google,01-10-20
Amazon's IMDb launches streaming service,01-10-19
Sector Update: Tech Stocks Losing Ground Wednesday,01-10-18
What to Expect from Apple Stock in 2020?,01-10-20
Amazon labels Honey a security risk — but only after PayPal bought it,01-10-20
MongoDB Shares Fall After Amazon Unveils New Cloud Service,01-10-19
Report: Amazon developing game-streaming service,01-10-19
Analyst Actions: JPMorgan Raises Price Target for Amazon.com to $1385; Maintains Overweight Rating,01-10-18
Roku Shares Drop on News Amazon's IMDb Starts Free Streaming Channel for Movies & TV,01-10-19
Pfizer Offers a Strong Combination of Growth and Income,01-10-20
Why Kohl's Has Turnaround Potential,01-10-20
"SAIC nets $727M Air Force, Army cloud migration contract",01-10-20
"Analyst sees $1T market cap for Amazon, expects 60% ad rev. growth",01-10-18
German court says Amazon's Dash violates law,01-10-19
Market Chatter: Amazon Reportedly Develops Online Gaming Streaming Service,01-10-19
"Spotify Stock Is Falling Amid Growing Competition, Even After Music Streaming’s Record Year",01-10-20
"Analyst Actions: Oppenheimer Stays Positive on MongoDB Amid AWS Attack, Keeps at Outperform, PT $90 - MDB Slumps 14%",01-10-19
Microsoft's Azure Poised to Pop,01-10-20
Casper Just Filed Its IPO. Here Are 4 Facts to Know.,01-10-20
Amazon Tells Shoppers That PayPal’s Honey Is a Security Risk,01-10-20
Amazon Dash Buttons Ruled in Violation of German Consumer Protection Laws,01-10-19
Sector Update: Tech Stocks Mostly Lower in Late Trade,01-10-18
Whole Foods eyes vacant Sears stores,01-10-19
Market Chatter: Amazon.com Warns of Security Risk With PayPal's Honey,01-10-20
Bank of America confirms it's taking some of Amazon's Rainier Square space,01-10-20
Amazon comes for Facebook's ad money - Cowen,01-10-19
Off The Supply Chain: Brokering Both Sides Of The Equation,01-10-20
Buy Netflix (NFLX) Stock with Earnings in Sight on Possible 2020 Comeback?,01-10-20
Market Chatter: Amazon.com's Whole Foods Eyes Vacant Sears Locations for Expansion,01-10-19
"Sony's Electric Car Prototype, 5G-Supported Laptops, Other Connected Technologies Take the Stage at CES 2020",01-10-20
MTNewswires After-Hours News Movers,01-10-19
"Amazon Said It Fired Employees Who Leaked Emails, Phone Numbers",01-10-20
More reports of big Whole Foods expansion,01-11-19
Market Chatter: Alphabet's Google Said Planning Consumer Push for Assistant to Rival Amazon's Alexa,01-11-18
Amazon and Chase Introduce New Prime Rewards Visa Card With 5% Back on All Amazon.com Purchases and Rewards Everywhere Else You Shop,01-11-17
Amazon Prime benefits come to Chase,01-11-17
Amazon boss Bezos to face protests from traders during India trip,01-11-20
Kornit Digital Ships Multiple Avalanche 1000 Systems for Amazon’s Recently Announced Print-on-Demand Service,01-11-16
Amazon Launches New Prime Rewards Visa Card with JPMorgan's Chase,01-11-17
Kornit Digital Signs Deal to Deliver Textile Production Systems to Amazon,01-11-17
"In Celebration of Golden Globe Wins, Amazon Prime Video is Making The Marvelous Mrs. Maisel Free to Watch This Weekend — No Membership Required",01-11-18
Fox says it won't bid on regional sports nets,01-11-19
"Is it the right time to invest in Amazon.com, Delta Airlines, Facebook, General Electric and Walmart Stores?",01-11-18
Oppenheimer confident on Amazon's Q4,01-11-19
JetBlue Launches Free Wi-Fi At Every Seat,01-11-17
Something rare is happening among popular technology stocks,01-11-20
Trump in uncharted territory — here’s what’s next for the stock market,01-11-20
IMDb Launches Its First-Ever Weekly Show,01-11-18
Market Chatter: Sinclair Broadcast Group Reportedly Likely Sole Bidder for Fox Regional Sports Networks,01-11-19
"--Analyst Actions: Stifel Nicolaus Lifts Amazon.com PT to $1,425 From $1,313, Reiterates Buy Rating",01-11-18
"Reports: Amazon acquiring French logistics firm, launching smaller Echo speaker",01-11-16
Amazon.com Agrees To Pay $1.1 Mln To Settle Canadian Pricing Case,01-11-17
Fox TV's Walden out of running for Amazon Studios chief,01-11-18
Amazon.com Looks to Lease 1 Mln Sq Feet in Boston,01-11-18
Amazon fires employees for customer data leaks,01-12-20
Market Chatter: Amazon.com Stops Selling Doormats Resembling Indian Flag After Government Threat,01-12-17
Amazon Had an OK 2019. Former PepsiCo CEO Indra Nooyi Bought More Stock.,01-12-20
"Analyst Actions: Amazon Target Raised to $800 at Credit Suisse, Outperform Maintained; Shares Up 1% Early",01-12-16
Amazon to Open New Pickup Location at University of Pennsylvania,01-12-16
"As Amazon.com flexes its muscle, Seattle moves to curb corporate political donations",01-12-20
"Amazon to Create More Than 100,000 New, Full-Time, Full-Benefit Jobs across the U.S. over the Next 18 Months",01-12-17
"Audible Releases Ponzi Supernova, an Original Series Shedding New Light on Bernie Madoff and the Biggest Ponzi Scheme in History",01-12-17
"Amazon to Add 100,000 New US Full-Time Jobs Over Next 18 Months",01-12-17
Amazon plans addition of 100K full-time U.S. jobs over next 18 months,01-12-17
Sector Update: Tech,01-12-17
Sector Update: Technology Stocks Mainly Lower in Early Trade,01-12-17
Amazon Go seen as long-term winner,01-12-19
"Amazon to Create 100,000 New Full-Time Jobs in US Over Next 18 Months",01-12-17
Upstarts land major trophies at Golden Globes,01-12-15
"SunTrust raises Amazon price target to $1,400; shares +2%",01-12-18
"Market Chatter: Verizon Works on New Services Beyond Broadband & Mobile Connectivity, TechCrunch Says",01-12-18
"Amazon Fined $7,000 By Federal Agency For Not Reporting Workplace Injuries",01-12-16
Sector Update: Late Bounce Lifts Consumer Stocks Near Even for Today,01-12-17
Amazon Studios Announces Jim Jarmusch’s Paterson to be Next Amazon Original Movie,01-12-16
What to watch for in US fourth-quarter earnings season,01-12-20
Amazon’s Bezos to Face Unprecedented Protests During India Trip,01-13-20
Bear of the Day: FedEx (FDX),01-13-20
Goldman Woos Mom and Pop With a 2% Magic Number,01-13-20
Walmart India sheds management jobs in profitability push,01-13-20
Market Chatter: Amazon.com Terminates Employees For Sharing Customer Information To Third-Party Entities,01-13-20
Bundesliga Goes All-In on AWS to Revolutionize Football Viewing Experience,01-13-20
"India orders antitrust probe of Amazon, Walmart's Flipkart",01-13-20
General Motors' (GM) Hummer Name to Run Again as EV Truck,01-13-20
Auto and Amazon prop up retail sales,01-13-17
Fintech Companies To Buy And Watch In 2020 Amid Rise Of Digital Payments,01-13-20
Woody Allen to direct series for Amazon Studios,01-13-15
"India Opens Antitrust Probe Into Amazon, Flipkart",01-13-20
"Amazon, Bundesliga to debut technology that predicts what happens next during soccer matches",01-13-20
Netflix Set to Release Brazilian Original Film Airplane Mode,01-13-20
"Stock Market Higher Ahead Of Earnings Season; Apple, Microsoft, Spotify, Tesla Key Movers",01-13-20
"CrowdStrike, FedEx, Microsoft, Amazon and Alphabet highlighted as Zacks Bull and Bear of the Day",01-13-20
"Amazon Donates $690,000 to Australian Bushfire Relief Efforts",01-13-20
Amazon Alexa To Enable Fuel Payments At Gas Stations,01-13-20
Shopify Stock Nearly Tripled Last Year. An Analyst Says It Can Go Even Higher.,01-13-20
"Nasdaq Sets Another Record High, Retailers Weighed Down By Below Consensus Dec Data",01-13-17
Amazon up 3.1% following Citi upgrade,01-13-15
Amazon Names New Head of Sales for Key Cloud Division,01-13-20
Walmart Introduces Warehouse Robots to Speed Up Online Grocery Sales,01-13-20
"With highest vacancy rate since 1993, downtown D.C.'s office woes continue to mount",01-13-20
"Midday Update: Dow Turns Negative as Retailers Weigh, Defensive Sectors Slump",01-13-17
"Amazon CEO Jeff Bezos Follows One Person on Twitter, She Doesn't Follow Him",01-13-20
Amazon to ramp up counterfeit reporting to law enforcement,01-13-20
Premier Foods Gets a Write-Up in Barron's,01-13-20
Here's how much your commute to HQ2 might cost — depending on where you live and your mode of choice,01-13-20
"Big Tech Breakdown: Buy Apple, Amazon & Facebook Stock in 2020?",01-13-20
Today's Pickup: Testing The Last-Mile Waters; Avoiding The Arctic,01-13-20
Amazon increasing counterfeit reporting - Reuters,01-13-20
"Stocks To Watch: How Does Costco Compare To Amazon, Walmart?",01-13-20
ICF set to buy another N. Va. contractor for $255M,01-13-20
Markets End Mostly Higher by US Close as Banks Kick Off Earnings,01-13-17
