Headline,Date
"Facebook Enters Multi-Year Deal With Universal Music Group, Plans New Music-Based Offerings",12-21-2017
"Facebook signs licensing deal with Universal Music, announces new fake news tool",12-21-2017
Shareholder Chan Zuckerberg Foundation Mark Zuckerberg Ttee Files To Sell $32.5M of FB on 12/12/16,12-21-2016
Chief Operating Officer Sandberg Sheryl Files To Sell $12.8M of FB on 12/12/16,12-21-2016
Shareholder CZI Holdings LLC Files To Sell $15.0M of FB on 12/12/16,12-21-2016
Officer Cox Christopher K Files To Sell $1.8M of FB on 12/12/16,12-21-2016
Facebook issues global governmental requests report,12-21-2016
Facebook Switches to HTML5 Video From Flash-Based Video,12-21-2015
"Facebook removes networks tied to Vietnam, Georgia",12-20-2019
"Thinking about trading options or stock in EXACT Sciences, Facebook, Lam Research, Nike, or NVIDIA?",12-20-2019
Market Chatter: Facebook Buys Startup Packgd to Add Live Shopping Feature to Marketplace,12-20-2019
Market Chatter: Facebook Said to Have Failed to Prevent Sharing of Easy-to-Find Sexual Images of Children on WhatsApp,12-20-2018
Twitter Is 'Uninvestable' to Citron Research After Amnesty Report on User Harassment,12-20-2018
"Thinking about buying stock in Apple Inc., Chesapeake Energy Corp., Facebook, Inc., Marin Software Inc., or Nike Inc.?",12-20-2018
Wall Street Sees Cautiously Higher Open After Fed Move,12-20-2018
FT: WhatsApp bans 130K accounts in 10 days,12-20-2018
OPTIONS: Large Cap Tech Option Implied Volatility,12-20-2018
Jefferies: Facebook Watch revenue could reach $12B by 2022,12-20-2017
Facebook launches Live Audio,12-20-2016
"Instagram Stories adds stickers, hands-free video",12-20-2016
European Commission accuses Facebook of misleading information involving WhatsApp acquisition,12-20-2016
Sector Update: Technology Stocks Edge Higher In Pre-Market Trade,12-20-2016
Facebook Accused of Providing Misleading Information About WhatsApp Deal by European Commission,12-20-2016
Zuckerberg shows off his AI butler,12-20-2016
"Nielsen: Facebook, Google have the 8 most popular U.S. mobile apps",12-20-2015
Sector Update: Tech Stocks Extend Thursday Advance,12-19-2019
"Facebook Introduces New Measures to Protect Users' Phone Numbers, Ban Ads That Disparage 2020 Census",12-19-2019
"Facebook to Ban False Ads, Target Misformation About 2020 US Census",12-19-2019
"Facebook's First Super Bowl Ad to Feature Chris Rock, Sylvester Stallone",12-19-2019
Facebook a Super Bowl player,12-19-2019
Market Chatter: Launch of Facebook's Cryptocurrency Libra Faces Uncertainties,12-19-2019
Libra launch plan still unclear,12-19-2019
Facebook Acquires Spain-Based Cloud Gaming Company,12-19-2019
Facebook heads to the Super Bowl,12-19-2019
"Stocks Plunge With Nasdaq at 14-Month Low, Dow Hitting Worst Level of Year After Fed Hikes Rate",12-19-2018
Sector Update: Facebook Leads Late Slide for Tech Stocks,12-19-2018
Facebook Denies It Provided Partners with Wide Access to Social Network Users' Personal Data,12-19-2018
Facebook Sued by Washington DC Attorney General For Cambridge Analytica Breach,12-19-2018
Report: D.C. AG files suit against Facebook,12-19-2018
D.C. AG files suit against Facebook (update),12-19-2018
Another personal data scandal for Facebook,12-19-2018
"Market Chatter: Facebook 'Abused' its Dominant Market Position, Says German Competition Watchdog",12-19-2017
Facebook announces anti-harassment tools,12-19-2017
"Facebook Introduces New Face Recognition Feature To Protect Identity, Assist Vision Impaired Users",12-19-2017
"Facebook, Microsoft Halt North Korean Cyber Hackers as US Lays Blame for WannaCry",12-19-2017
MoffettNathanson outlines how Facebook shares could drop in 2018,12-19-2017
"Facebook, Microsoft Disabled North Korea Cyber Threats Last Week, Homeland Security Adviser Tom Bossert Says",12-19-2017
U.S. says Facebook fought off cyber attacks; Germany questions data use,12-19-2017
"Facebook Guilty of Abusing Dominant Market Position, German Cartel Office Says; Stock Edges Higher Pre-Bell",12-19-2017
Sector Update: Tech Stocks Keeping Major Averages on Positive Ground,12-19-2016
SunTrust Robinson Humphrey considers upside to Instagram's Facebook contribution,12-19-2016
Internet Stock Underperformance Seen as Buying Opportunity for Canaccord as 2017 Dawns,12-19-2016
Facebook Messenger adds group video chatting,12-19-2016
"Canaccord Genuity reissues Buy ratings on Facebook, Amazon, Alphabet, Netflix",12-19-2016
"Market Chatter: Facebook, Other Social Media Platforms Should Face Crackdown for Fake News: German Minister",12-19-2016
Citi values Instagram at $35B,12-19-2014
Facebook acquires PlayGiga,12-18-2019
"Equities End Mixed in Session Light on Economic Data, Likely Trump Impeachment",12-18-2019
"Facebook's Instagram, British American Tobacco Targeted by British Regulators for Vaping Promotion",12-18-2019
Strong ad spend ahead for Facebook - Deutsche,12-18-2019
"Analyst Actions: Deutsche Bank Lifts Facebook Price Target to $270 From $260, Maintains Buy Rating",12-18-2019
Facebook target lifted on 'renewed strength',12-18-2019
Market Chatter: Facebook Hires Part-Time Community Reviewers to Help in Fact-Checking Process,12-18-2019
S&P 500 Q3 2018 Buybacks Surpass $200 Billion Mark for the First Time Ever,12-18-2018
WhatsApp could face fine for data sharing,12-18-2017
"JPMorgan raises price targets for Amazon, Facebook, and Priceline",12-18-2017
Sector Update: Technology Stocks Higher In Pre-Market Tradeing,12-18-2017
Sector Update: Tech,12-18-2017
"Facebook starts demoting ""engagement bait"" posts this week",12-18-2017
"Facebook Demotes 'Engagement Bait' Posts, Launches Features Designed to Boost Users' Emotional Well-Being",12-18-2017
Pre-Market Briefing: US Equities Futures Rise on Upbeat Sentiment as Investors Expect Tax Bill to Be Passed,12-18-2017
Facebook launching new fact-checking program - Axios,12-17-2019
Market Chatter: Peter Thiel Reportedly Advised Mark Zuckerberg on Facebook's Controversial Decision on Political Ads,12-17-2019
S&P 500 buybacks reverse declines in Q3 2019; expenditures remain lower than the 2018 levels,12-17-2019
Thiel driving FB division on political ads - WSJ,12-17-2019
MT Newswires After-Hours News Movers,12-17-2018
NAACP Calls For Week-Long Boycott of Facebook,12-17-2018
France moves ahead with tech tax,12-17-2018
"Option trades on Apple, Amazon.com, Facebook, NVIDIA, and Tesla Motors",12-17-2018
Russia disinformation report calls out big tech,12-17-2018
Stocks End Higher as US Officials Say Trade Pact With China Is Certain,12-16-2019
Vice President Fischer David B Files To Sell $1.0M of FB on 12/7/16,12-16-2016
"Market Chatter: Facebook's Drone Crash Caused by Autopilot, According to NTSB",12-16-2016
"BetterInvesting Top 100 Index Bounces Back in November, Up 14.3% Annually Over 5 Years",12-16-2016
Facebook updates on Aquila test flight,12-16-2016
Market Chatter: Verizon Said to Mull Acquisitions of Digital Media Firms to Drive More Traffic,12-16-2016
Facebook Unveils Uber Partnership For Ordering Rides On Its Messaging App,12-16-2015
Facebook strikes deal with Uber to enable ride requests via Messenger,12-16-2015
Facebook Announces Instant Articles For Android Users; Shares Inch Higher,12-16-2015
Market Chatter: Yelp Shares Gain 3.5%; Raymond James Says Facebook Isn't A Threat To Company,12-16-2015
"Facebook, Twitter, Amazon take part in Internet stock selloff",12-16-2014
"BetterInvesting 100 Index Grows 3.9% in November, Up 15.6% Over Five Years Through November",12-15-2017
Facebook to Promote Videos More Strongly in News Feeds,12-15-2017
New York Attorney General Says Leading Multi-State Lawsuit to Stop Rollback of Net Neutrality,12-15-2017
"Pre-Market Briefing: US Equities Futures Higher, Bucking Overseas Trend; Uncertainty Over US Tax Bill Lingers",12-15-2017
Shareholder CZI Holdings LLC Files To Sell $15.0M of FB on 12/9/16,12-15-2016
Shareholder Chan Zuckerberg Foundation Mark Zuckerberg Ttee Files To Sell $32.5M of FB on 12/9/16,12-15-2016
Facebook Cracks Down on Fake News Stories After Post-Election Contention,12-15-2016
Facebook updates on hoax news,12-15-2016
Facebook Launching Tools to Flag Fake News,12-15-2016
Trump-Pence transition team updates on tech summit,12-15-2016
Instagram records 600M users,12-15-2016
The Diversity of Digital Marketing,12-15-2016
"Internet Stocks Under Review -- Twitter, Facebook, Groupon, and Yandex",12-15-2016
Officer Cox Christopher K Files To Sell $1.7M of FB on 12/7/15,12-15-2015
"Facebook preps local services site, takes on Yelp/Angie's List",12-15-2015
"Covered Call Alerts For Facebook, Valeant Pharmaceuticals, Under Armour, Straight Path Communications and Trina Solar Ltd Released By InvestorsObserver",12-15-2015
"S&P 500 Posts 1.3% Weekly Decline, Extending December Drop to 5.8%; Financials, Energy Lead Fall",12-14-2018
Sector Update: Technology Stocks In Negative Territory at the Close,12-14-2018
"Market Chatter: Facebook Plans to Sell Subscriptions to HBO, Other Cable TV Networks",12-14-2018
Facebook Says Bug May Have Exposed Photos From 6.8 Million Users,12-14-2018
Facebook Says Third-Party Apps Gained Wider Access to Users Photos; Bug Already Fixed,12-14-2018
Facebook notifies developers about photo-sharing bug,12-14-2018
Recode: Facebook wants in on pay TV,12-14-2018
Facebook to test pre-video ads in monetization update,12-14-2017
Vice President Schroepfer Michael Todd Exer. Acquires $122.8K of FB on 12/13/16,12-14-2016
Officer Cox Christopher K Sells $1.8M of FB on 12/12/16,12-14-2016
Chief Operating Officer Sandberg Sheryl Exer. Acquires $544.4K of FB on 12/12/16,12-14-2016
Sector Update: Tech Stocks Ending With Small Losses,12-14-2016
"Market Chatter: Facebook Edges Up, Starting to Talk to TV Studios and Video Producers About Licensing Shows",12-14-2016
Facebook exploring funding of video content creation,12-14-2016
"INVESTOR ALERT: Lundin Law PC Announces Securities Class Action Lawsuit against Facebook, Inc. and Encourages Investors with Losses to Contact the Firm",12-14-2016
Oculus shakeup prompts search for new CEO,12-14-2016
Sector Update: Tech Stocks Advance Following Delay on New Tariffs,12-13-2019
"Payroll Information of 29,000 Facebook Employees Compromised by Theft",12-13-2019
Market Chatter: FTC Considers Seeking Injunction Against Facebook Over Messaging Apps Integration,12-13-2019
"Analyst Actions: JPMorgan Picks Facebook Top Internet Pick 2019, Keeps at Overweight, PT $195 - Stock Steady",12-13-2018
Market Chatter: Facebook Reportedly May Cut Spending on Individual News Programs,12-13-2018
Facebook pushes back on story dinging fact-check program,12-13-2018
"Facebook: Watch has 400M monthly users, 75M daily users",12-13-2018
Report: Facebook cutting back some news video funding,12-13-2018
Sector Update: Consumer Staple Stocks Keep Padding Gains,12-13-2017
Travelzoo to Broadcast Live Stream of Mickey's Holiday Parade on Facebook,12-13-2017
World Wrestling Entertainment Shares Rise 4% as New Match Series to Stream Live on Facebook,12-13-2017
"Twenty-First Century Fox, Disney Deal Seen Having Limited Impact on Premium Video Market, Pivotal Says",12-13-2017
Facebook Bows to European Union Pressure - Won't Record Local Advertising Revenue at Dublin Unit,12-13-2017
Chairman of the Board Zuckerberg Mark Sells $95.0M of FB on 12/9/16-12/12/16,12-13-2016
Mega-cap tech trading hot,12-13-2016
"Facebook Adds More Than 2%, Oculus Rift CEO to Step Down Amid Reorganization",12-13-2016
"Reuters: WhatsApp, Skype to come under new EU rules",12-13-2016
Facebook dumps Microsoft's Bing search,12-13-2014
BetterInvesting Magazine Releases February Stock to Study And Undervalued Stock Choices For Investors' Informational And Educational Use,11-30-2018
Market Chatter: Facebook Worked With Republican Consulting Firm Targeted Victory for Community Boost Tour,11-30-2018
"Best Option Trade Ideas for Apple, Amazon.com, General Electric, Facebook, and Twitter",11-30-2018
Report: Facebook hired Republican strategy firm,11-30-2018
Facebook admits Sandberg requested Soros research,11-30-2018
Sector Update: Technology Stocks Higher Pre-Bell,11-30-2017
Sector Update: Tech,11-30-2017
Facebook Eliminates Fees on Donations Made to Non-Profit Organizations; Shares Up Near 1% Pre-Market,11-30-2017
Shareholder HS Trust Files To Sell $4.7M of FB on 11/22/16,11-30-2016
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $14.5M of FB on 11/22/16,11-30-2016
Officer Cox Christopher K Sells $1.9M of FB on 11/28/16,11-30-2016
Chief Operating Officer Sandberg Sheryl Exer. Acquires $544.4K of FB on 11/28/16,11-30-2016
Stocks Give Back Most Gains by US Close But Indexes Rally in Strong Monthly Moves,11-30-2016
"Hope Will Start 2017 for Stocks But Fear Seen Taking Over in Second Half, Goldman Sachs Says",11-30-2016
"Goldman Sachs Makes Stock Picks For Weaker H2 2017, Sees H2 Reversing Some of S&P 500's Expected Q1 Rally",11-30-2016
"Costco Wholesale, Facebook Sites Crash on Thanksgiving Day",11-29-2019
Facebook Ordered to Correct 'Fake News' Under New Singapore Law,11-29-2019
Facebook Says Thanksgiving Outages Resolved,11-29-2019
Market Chatter: Snap Warned to Tread Carefully in Targeting Older Users,11-29-2018
Facebook debated charging for user data access?,11-29-2018
"Midday Update: Tech Sector Takes Shellacking, Led by Chipmakers, FANG Stocks",11-29-2017
Snapchat unveils redesign that separates social from media,11-29-2017
"Facebook Says 99% of ISIS, Al Qaeda-Related Terror Content is Removed Before Community Flags It",11-29-2017
Pre-Market Briefing: US Equities Futures Mixed Ahead of Data; Investors Eye Progress on Tax Bill,11-29-2017
Chief Financial Officer Wehner David M Files To Sell $1.3M of FB on 11/21/16,11-29-2016
Shareholder Koum Jan Ttee Butterfly Trust Files To Sell $14.0M of FB on 11/21/16,11-29-2016
"Facebook Messenger, News Feed gain integrated gaming capabilities",11-29-2016
"Learn how to target a 20% return on Facebook, or get option-trade ideas on Starbucks, Under Armour, Cognizant Technology Solutions and Sony Corporation or any stock you choose",11-29-2016
Rights groups press for secret docs in Facebook Messenger case,11-28-2018
Facebook expands locally focused news feature,11-28-2018
Facebook to Participate in the Wells Fargo Tech Summit 2017,11-28-2017
"JPMorgan lists top AI picks, includes Facebook and Palo Alto",11-28-2017
"Should You Buy Into Apple, Facebook, Nike, Skechers and Tesla Motors?",11-28-2017
Director Koum Jan Sells $28.6M of FB on 11/23/16-11/25/16,11-28-2016
Pivotal Research Group Cuts 2017 Ad-Growth View to 2.0% in Deceleration from 2016's Expected 5% Growth,11-28-2016
Facebook Acquires Virtual Games Studio,11-27-2019
"FTC hearing sees call for regulating Facebook, Google",11-27-2018
WhatsApp chief business officer latest exec to depart,11-27-2018
European lawmakers slam no-show Zuckerberg at Facebook hearing,11-27-2018
Amazon pushes hard in online ads,11-27-2018
Facebook to Improve Pattern Recognition Technology to Get Help to People Expressing Suicidal Thoughts Faster,11-27-2017
Ways to give back this #GivingTuesday on Facebook,11-27-2017
Technology Industry Leaders Join Forces to Increase Predictability in Open Source Licensing,11-27-2017
"Report: Developing Opportunities within Social Reality, The Finish Line, Facebook, Organovo, Plug Power, and Intrexon — Future Expectations, Projections Moving into 2018",11-27-2017
"Pivotal Research Trims Estimate for 2017 US Advertising Growth to 4.1% From $4.4% Amid TV, Digital Challenges",11-27-2017
Director Koum Jan Sells $108.9M of FB on 11/24/15-11/25/15,11-27-2015
Update: Fitbit Unveils Bid War Leading Up to Google's $2.7 Billion Offer,11-26-2019
Facebook was rival bidder for Fitbit - CNBC,11-26-2019
"Equities Rally With Dow Halting Four-Day Slide as Retailers, Financials Get Shopping Boost",11-26-2018
Market Chatter: Facebook Shuts Down 'War Room'; Internal Documents Seized in U.K. for Cambridge Analytica Scandal Probe,11-26-2018
"Pivotal Research Raises US Advertising Growth Outlook For 2018, 2019 Amid Positive Economic Trends",11-26-2018
"Analyst Actions: Stifel Nicolaus Cuts Facebook's Price Target to $150 From $186, Reiterates Buy Rating",11-26-2018
Facebook shutters crisis 'War Room'; Sandberg under fire,11-26-2018
Analyst Actions: MKM Partners Reiterates Facebook Buy Rating; Lowers PT to $190 From $230,11-26-2018
"Option-trading opportunities on Apple, Advanced Micro Devices, Alibaba, Facebook, and General Electric",11-26-2018
U.K. seizes Facebook internal papers,11-26-2018
"Facebook, Twitter, other Internet stocks rally",11-26-2014
"Facebook, Twitter Android Users Face Personal Data Breach After Logging on Third-Party Apps",11-25-2019
Sector Update: Big Gains for Chipmakers Leading Tech Stocks to Strong Rise,11-25-2019
Facebook Launches New Market Research App Viewpoints,11-25-2019
"FB, TWTR say users revealed data through apps",11-25-2019
Sector Update: Chipmakers Leading Tech Stocks to Big Advance,11-25-2019
Facebook launches market research app,11-25-2019
Facebook Says Facial-Recognition App for Internal Use Only,11-25-2019
"Twitter, Facebook, YouTube appear blocked in protest-hit Pakistan",11-25-2017
Vice President Schroepfer Michael Todd Sells $4.6M of FB on 11/22/16,11-25-2016
Director Thiel Peter Sells $2.4M of FB on 11/22/16,11-25-2016
Vice President Fischer David B Files To Sell $1.8M of FB on 11/16/15,11-25-2015
Officer Cox Christopher K Files To Sell $1.6M of FB on 11/16/15,11-25-2015
Director Koum Jan Files To Sell $286.5M of FB on 11/16/15,11-25-2015
Chief Operating Officer Sandberg Sheryl Files To Sell $2.3M of FB on 11/16/15,11-25-2015
Vice President Stretch Colin Files To Sell $1.2M of FB on 11/16/15,11-25-2015
Vice President Schroepfer Michael Todd Files To Sell $6.5M of FB on 11/16/15,11-25-2015
Chief Financial Officer Wehner David M Files To Sell $1.3M of FB on 11/16/15,11-25-2015
Officer Cox Christopher K Files To Sell $5.3M of FB on 11/16/15,11-25-2015
Google to Launch Rival to Facebook's Instant Articles in Early 2016,11-25-2015
What did the billionaires do in Q3?,11-25-2014
Facebook to Create Tool Allowing Users to Check if They Interacted With Russian Propaganda,11-24-2017
Pre-Market Briefing: US Equities Futures Unchanged to Higher in Quiet Holiday Trading,11-24-2017
"Analyst Actions: Facebook Reaffirmed with Buy at MKM Partners, PT Raised to $130",11-24-2015
Facebook Admits Hiring PR Firm to Work on Billionaire George Soros,11-23-2018
ESG screens start to take a bite,11-23-2018
"Wall Street Seen Opening Shortened Holiday Session Lower Amid Ongoing US-China Trade Tensions, Weaker Oil Prices; Retail Sales Also in Focus",11-23-2018
Open Society head wants Facebook oversight,11-23-2018
Vice President Fischer David B Files To Sell $2.5M of FB on 11/15/16,11-23-2016
Shareholder CZI Holdings LLC Files To Sell $15.0M of FB on 11/17/16,11-23-2016
Vice President Schroepfer Michael Todd Files To Sell $8.0M of FB on 11/15/16,11-23-2016
Shareholder Chan Zuckerberg Foundation Mark Zuckerberg Ttee Files To Sell $32.5M of FB on 11/17/16,11-23-2016
Chief Financial Officer Wehner David M Files To Sell $2.7M of FB on 11/15/16,11-23-2016
Vice President Stretch Colin Files To Sell $1.6M of FB on 11/15/16,11-23-2016
Vice President Fischer David B Files To Sell $1.5M of FB on 11/16/16,11-23-2016
Director Koum Jan Files To Sell $75.7M of FB on 11/15/16,11-23-2016
Officer Athwal Jas Files To Sell $574.7K of FB on 11/15/16,11-23-2016
Officer Cox Christopher K Files To Sell $6.6M of FB on 11/15/16,11-23-2016
Chief Operating Officer Sandberg Sheryl Files To Sell $3.4M of FB on 11/15/16,11-23-2016
Vice President Fischer David B Files To Sell $1.5M of FB on 11/17/16,11-23-2016
Chief Financial Officer Wehner David M Sells $1.3M of FB on 11/21/16,11-23-2016
"Oppenheimer & Co.bullish on valuations at Facebook, Amazon, Alphabet, Netflix",11-23-2016
Market Chatter: Facebook Said to Develop Censorship Tool To Enable China Access,11-23-2016
Director Koum Jan Sells $165.4M of FB on 11/19/15-11/23/15,11-23-2015
Rough time for hedge fund hotels,11-23-2015
Facebook built app for real-time face recognition - report,11-22-2019
"Thinking about trading options or stock in Facebook, Home Depot, QUALCOMM, Starbucks, or Square?",11-22-2019
Facebook to Provide More Documents as California Continues Data Privacy Probe,11-22-2019
Facebook hires top DOJ antitrust lawyer,11-22-2018
Thiel sells bulk of remaining holdings in Facebook,11-22-2017
Facebook building tool to show users their exposure to Russian accounts,11-22-2017
"Billionaire Peter Thiel, Early Investor, Sells Almost 75% of Facebook Holdings For $29 Million",11-22-2017
Officer Cox Christopher K Files To Sell $1.9M of FB on 11/14/16,11-22-2016
Director Koum Jan Sells $42.8M of FB on 11/18/16-11/22/16,11-22-2016
Facebook claimed to develop experimental censorship feature in consideration of China re-entry,11-22-2016
Goldman's list of stock longs mattering most to hedge funds,11-22-2016
Facebook drone failure prompts U.S. probe,11-22-2016
"Zuckerberg to take paternity leave, doesn't name replacement",11-22-2015
Alphabet's Loon and Telefonica's Internet para Todos Peru to Provide Internet to Remote Parts of Amazon,11-21-2019
Market Chatter: Facebook Considering Changing Political Advertising Policy on Audience-Targeting Smaller Groups,11-21-2019
Facebook considering political ad changes - DJ,11-21-2019
Facebook publishes memo where policy chief owns up to PR firm hiring,11-21-2018
"Facebook Appeals $639,000 Fine by UK Regulators over Cambridge Analytica Data Scandal",11-21-2018
Facebook appeals £500K fine in Britain over data scandal,11-21-2018
Zuckerberg Resists Calls for Him to Step Down as Facebook Chairman,11-21-2018
Zuck won't step down as Facebook chairman,11-21-2018
Market Chatter: Facebook Said to be Going to Russia to Discuss Compliance With Russian Laws on Data Storage,11-21-2017
Tencent market cap overtakes Facebook,11-21-2017
Chairman of the Board Zuckerberg Mark Sells $95.0M of FB on 11/17/16-11/18/16,11-21-2016
Stocks Surge to Record Highs as Oil Futures Jump on Output Cut Hopes,11-21-2016
Market Chatter: Facebook Drone Accident Being Probed by NTSB,11-21-2016
"Stocks Resume Uptrade as Oil Rallies, Dollar Fades",11-21-2016
"Instagram adds live video, ephemeral attributes",11-21-2016
J.P. Morgan positive on Facebook share buyback,11-21-2016
"Facebook expanding UK headcount, new London HQ under construction",11-21-2016
Facebook Set to Hire 500 Additional Staff in London,11-21-2016
Google adds new limits to political ad targeting,11-20-2019
