headlines,date
"Equities Tumble as Apple Spooks Markets, US Manufacturing Sector Sends Downbeat Signal",01-03-19
India reportedly unlikely to extend Apple manufacturing concessions,01-03-17
Close Update: Apple Sales Warning Helps Push Investors Out of Stocks Sending Market Indexes Tumbling,01-03-19
"After Hours Watch List Scorecard: IZEA, GNMX, AAPL",01-03-19
Tim Cook took home $125M in 2019 but that's less than the prior year,01-03-20
Apple drops to fourth place by market value,01-04-19
FlexShares STOXX US ESG Impact Index ETF (ESG) December Summary,01-04-17
Qualcomm Compels Apple to Remove iPhones From German Stores,01-04-19
Apple Given 10 Days by Sao Paulo Authorities to Inform Consumers on iPhone Batteries,01-04-18
FlexShares STOXX Global ESG Impact Index ETF (ESGG) December Summary,01-04-17
Sector Update: Tech,01-04-18
Oppenheimer Global ESG Revenue ETF (ESGF) December Summary,01-04-18
Sector Update: Tech,01-04-17
Sector Update: Tech Stocks Move Higher in Pre-Bell Trading Friday,01-04-19
Sector Update: Technology Stocks Mostly Higher In Pre-Market Trade,01-04-17
Sector Update: Technology Stocks Mixed in Pre-Market Trading; Intel Reportedly Says Chief Exec Share Sale Unrelated to Chip Vulnerability,01-04-18
"Financialbuzz.com: 'Apple's Announcement Rattles the Market' Video Recap Week Ending January 4th, 2019",01-04-19
"Financialinsiders.com: 'Roller Coaster Week' Market News Recap Ending January 4th, 2019",01-04-19
WisdomTree LargeCap Dividend ETF (DLN) December Summary,01-04-16
WisdomTree U.S. Dividend Growth ETF (DGRW) December Summary,01-04-16
Stock Futures Hold Overnight Gains on Stellar Labor Market Report,01-04-19
Toyota Motor Partners with Ford on Car Dashboard Connectivity System,01-04-16
Oppenheimer Large Cap Revenue ETF (RWL) December Summary,01-04-18
Apple reportedly confirms $1B investment in SoftBank Vision Fund,01-04-17
Market Chatter: Apple Confirms Plans To Invest $1 Bln in SoftBank Tech Fund,01-04-17
Update: Market Chatter: Apple Confirms Plans To Invest $1 Bln in SoftBank Tech Fund,01-04-17
Sector Update: Tech Stocks Reversing Thursday's Steep Declines,01-04-19
"Oracle founder Larry Ellison, Qualcomm, Foxconn among backers of SoftBank's technology fund",01-04-17
GBH: Apple could repatriate $200B,01-04-18
Market Chatter: Oracle Founder Said to Join Apple & Qualcomm in Backing SoftBank's Technology Fund That Aims to Raise $100 Bln,01-04-17
Trump: Not worried about Apple stock; company should build in U.S.,01-04-19
Sector Update: Friday Rally Erases Thursday Declines for Tech Stocks,01-04-19
Sector Update: Tech Stocks Padding Small Advance Late,01-04-17
App Store Kicks Off 2018 with Record-Breaking Holiday Season,01-04-18
"Stocks Post Wide Swing Higher as US Payrolls, Powell Comments Soothe Market Fears",01-04-19
Apple App Store's record-breaking holiday season included $300M in a day,01-04-18
Close Update: Bullish Jobs Report and Fed Chair Powell Unleash Blistering Risk Rally,01-04-19
Raymond James observes subdued consumer technology spending,01-04-17
"Reports: With shares vesting, Iovine to leave Apple",01-04-18
Apple confirms all its devices affected by processor exploits,01-04-18
Market Chatter: New York Times Says Apple Removed News Apps From China App Store,01-05-17
CES takes center stage,01-05-17
Pre-Market Briefing: US Futures Flat to Lower; Amazon Said to Mull Offer For American Apparel,01-05-17
"Apple Says All Macs, iPhones, iPads Affected by Meltdown, Spectre Computer Chip Flaws",01-05-18
Market Chatter: Apple Seen Losing Music Chief Jimmy Iovine in August,01-05-18
"Apple App Store Sees $890 Mln In Holiday Week Sales, Breaks Prior New Year's Day Record of $300 Mln",01-05-18
Sector Update: Tech,01-05-18
WSJ: Apple product delays doubled under CEO Cook,01-05-18
App Store Shatters Records on New Year’s Day,01-05-17
Sector Update: Technology Stocks Higher in Pre-Market Trading; China Information Technology Continues to Gain on Terminals Sale,01-05-18
Sector Update: Tech,01-05-17
Apple App Store posts record purchases on New Year's Day,01-05-17
Sector Update: Technology Stocks Edge Lower In Pre-Market Trade,01-05-17
"Covered Call Alerts For Apple, Consol Energy, Skyworks Solutions, Coach and Advance Auto Parts Released By InvestorsObserver",01-05-16
"Correction: Apple App Store Sees $890 Mln In Holiday Week Sales, Breaks Prior New Year's Day Record of $240 Mln",01-05-18
Equities Extend 2018 Winning Streak Even as US Jobs Report Misses Views,01-05-18
"Apple Says Developers Earned $20 Bln on Its App Store in 2016, Up 40%",01-05-17
"Apple Releasing Fixes for Meltdown, Spectre Security Flaws",01-05-18
"Apple Pay to Be Integrated With USA Technologies' Loyalty Platform For Use on 300,000 Vending Machines",01-05-17
Apple reportedly expected to cut iPhone 6S/6S+ orders; shares lower,01-05-16
Sector Update: Strong Advance for Tech Stocks,01-05-18
Market Chatter: Apple and Its Suppliers Fall on Report of Production Cuts,01-05-16
"Apple to Scale Back Production of Latest iPhone Models as Inventories Build, Nikkei Reports",01-05-16
"Fitbit Slides to Record Low, Investors Not Impressed With The Blaze",01-05-16
Apple's App Store Sales Surge With Earnings for Developers Up 40% in 2016,01-05-17
Alphabet's Google Sells 'Tens of Millions' of Home Devices in 2017,01-05-18
Billboard: Jimmy Iovine leaving Apple Music in August,01-05-18
NVIDIA Up More Than 2% After Unveiling Self-Driving Car Technology With Volvo as First User,01-05-16
Sector Update: Tech Stocks Help Pace Broader Market Gains,01-05-18
Correction: Sector Update: Tech Stocks Help Pace Broader Market Gains,01-05-18
"S&P 500 Climbs 2.6% in First Week of 2018 to New Closing High, Led by Technology, Materials, Energy",01-05-18
Apple reports earnings on January 27,01-05-15
Hagens Berman: Top Consumer Law Firm Files Class-Action Lawsuit Against Apple for iPhone Slowdown,01-05-18
Market Chatter: Amazon Expected to Be Biggest Free Cash Generator in US Within Five Years,01-06-20
Look out Samsung! Apple is heading to Seoul,01-06-17
Apple Sues iOS Virtualization Vendor for Trafficking Copyright-Protected Products,01-06-20
Pre-Market Briefing: US Futures Follow World Markets Lower as Jobs Data on Tap,01-06-17
Market Chatter: Apple to Open First Retail Store in South Korea,01-06-17
"Analyst Actions: Needham Downgrades Apple to Buy From Strong Buy, Lifts Price Target to $350 From $280",01-06-20
Apple delaying some 5G iPhone launches - Susquehanna,01-06-20
Newest Secure Mobile Payment Platforms to Adapt to Smart Chip Technology & Product Development for Added Consumer Security Protection,01-06-16
Record-Breaking Holiday Season for the App Store,01-06-16
Sector Update: Tech,01-06-17
Stocks to watch next week,01-06-18
Sector Update: Technology Stocks Mixed In Pre-Market Trade,01-06-17
Sector Update: Top Tech Stocks Down During Pre-Bell Monday,01-06-20
Apple executive compensation decreases on below-target year,01-06-17
Apple reports 2015 App Store spending tops $20B,01-06-16
"Thinking about trading options or stock in Apple, Citigroup, Lockheed Martin, NVIDIA, or Roku?",01-06-20
"Analyst Actions: Apple Cut to Neutral at Rosenblatt Securities, PT Slashed to $102 - Shares Slip 2%",01-06-16
Apple Slips More Than 1% Despite Record-Breaking Holiday Season for Its App Store,01-06-16
Apple bull continues to see upsides,01-06-20
"Apple Executives' Compensation Cut as Company Fails to Meet Sales, Income Goals",01-06-17
Wedbush Sees 'Clear Upside' in Apple Fiscal Q1 Results; Susquehanna Expects Delay in Some iPhone 5G Model Launches,01-06-20
Amazon Alexa in spotlight at CES 2017,01-06-17
"Analyst Actions: Apple Downgraded To Neutral At Rosenblatt Securities, Price Target Cut To $102",01-06-16
Apple Shares Up 1% - Canadian Competition Watchdog Terminates Anti-Trust Probe,01-06-17
Midday Report: US Stocks Mixed as Concern Grows Over Escalation in US-Iran Tensions; Fourth-Quarter Earnings Round The Corner,01-06-20
Barron's calls out value and income plays,01-06-19
"Stocks Rally With Nasdaq, S&P 500 Reaching Record Highs",01-06-17
Close Update: US Stocks Regain Footing in Afternoon as Investors Weigh Rising Tensions in the Mideast,01-06-20
"Report: Apple set to ship Watch in March, prepping new MacBook Air",01-06-15
Samsung adds iTunes to smart TVs,01-06-19
"Samsung Hops Aboard Smart Speaker, AR Glasses Hype Trains",01-07-20
Samsung Looks Beyond AI With Artificial Humans,01-07-20
Apple CEO Cook's pay package worth $10.3M,01-07-16
Monster sues Beats over headphones acquisition,01-07-15
Goldman Sachs Unveils Reporting Changes Ahead of Q4 Earnings and First-Ever Investor Conference,01-07-20
Apple Signs Deal To Distribute iTunes Shows To Samsung Smart TVs,01-07-19
California Judge Offers Quarterhill Unit Reduced Damages or New Trial in Patent Dispute With Apple,01-07-19
Netflix Copycats Get Put to the Test in 2020,01-07-20
OPTIONS: Option Implied Volatility into China Trading Halt after 7% Drop in 29 Minutes,01-07-16
Should WisdomTree U.S. LargeCap Fund (EPS) Be on Your Investing Radar?,01-07-20
Apple Should Stop Buying Back Its Stock. Here’s What It Should Do Instead.,01-07-20
iQIYI's Overseas Expansion to Stir Up Streaming Competition,01-07-20
Sector Update: Tech Stocks Decline Pre-Market Monday,01-07-19
"The Internet Has Become a Cluttered, Proprietary Mess",01-07-20
Buy 5 Blue-Chip Stocks on Best Intra-Day Recovery in 3 Months,01-07-20
Sector Update: Most Tech Majors Retreat Pre-Bell Tuesday,01-07-20
"Analyst Actions: Apple Price Target Cut To $130 At RBC Capital Markets, Reiterated Outperform",01-07-16
Tuesday's Market Minute: The Future Of Technology,01-07-20
PayPal Boosts E-commerce Presence With Honey Science Buyout,01-07-20
Analyst Actions: Quarterhill Rating Lowered by Canaccord Genuity as Judge Reduces Damages Award,01-07-19
Top Tech Predictions for 2020,01-07-20
Market Chatter: Fox Sports Submits 'Aggressive' Bid For NFL Thursday Games: TheStreet.com,01-07-16
Google Says Over 500 Million People Use Its Assistant Monthly,01-07-20
Sector Update: Tech Stocks Extending Morning Advance,01-07-19
"Market Chatter: Apple Down More Than 2.5%, Buys Emotient",01-07-16
Top Performing ETFs of the Decade,01-07-20
Why Garmin (GRMN) is a Strong Tech Stock to Buy,01-07-20
Marathon Patent Group Provides Update On Patent Suit With Apple; Shares Inch Lower,01-07-16
Sector Update: Chipmakers Keep Technology Stocks On Positive Ground,01-07-19
Zagg Develops Charger to Rival Apple’s Doomed AirPower Mat,01-07-20
"Amazon, Intel and Ford Want to Harvest Your Data While You Drive",01-07-20
Apple Privacy Executive Defends Encryption After FBI Request,01-07-20
Apple continues A.I. startup buying spree; two chip suppliers warn,01-07-16
3 Cheap Tech Stocks Under $10 to Buy for 2020,01-07-20
Buyers' Remorse,01-07-20
"Facebook, Apple, and the FTC Came Together to Talk Privacy at CES. Here Are the Highlights.",01-07-20
"Hong Kong Hang Seng Gains 0.28% on Property Issues, Mainland Buying",01-08-18
Bull of the Day: Sony (SNE),01-08-20
"Apple News users reach 100 million, App Store sales rise",01-08-20
"Apple Suppliers in Europe Struggle After Cirrus Logic, Qorvo Release Sales Figures Missing Estimates",01-08-16
FBI makes new demand for data on locked iPhone,01-08-20
FirstFT: Today’s top stories,01-08-20
"Analyst Actions: Apple Price Target Cut To $125 At Cowen, Reiterated Market Perform",01-08-16
Sector Update: Tech,01-08-18
Whirlpool Partners with Honeywell and Apple to Allow Appliance Connectivity,01-08-18
Sector Update: Tech Stocks Advance Pre-Bell Tuesday,01-08-19
Sector Update: Top Tech Stocks Mostly Lower Pre-Market Wednesday,01-08-20
Sector Update: Technology Stocks Mixed in Pre-Market Trade as CES Opens in Las Vegas,01-08-18
"Thinking about buying stock in Apple, Axsome Therapeutics, Luxoft, Netflix or QEP Resources?",01-08-19
Services is king as Apple News hits 100M MAUs,01-08-20
It's Time To Take A Second Look At The Music Streaming King,01-08-20
"The Zacks Analyst Blog Highlights: Apple, Tesla, NVIDIA and Bank of America",01-08-20
"Jabil Inc. -- Moody's rates Jabil's new notes Baa3, outlook stable",01-08-20
Apple +3.3%; App Store revenue rose 50% in 2014,01-08-15
Spiros Segalas Adds 4 Stocks to Portfolio in 4th Quarter,01-08-20
"The Zacks Analyst Blog Highlights: Apple, NIKE, Procter & Gamble, Walmart and American Express",01-08-20
Apple's App Store Hits New Single-Day Record Revenue on Jan 1,01-08-20
"Buy Mastercard and Visa, Analyst Says. They Are in ‘Rarefied Air’ Among Stocks.",01-08-20
"Analyst Actions: Apple Price Target Cut to $146 at Canaccord Genuity, Reiterated Buy Rating",01-08-16
Here's Why Momentum Investors Will Love Apple (AAPL),01-08-20
Wedbush expects Apple earnings to sizzle,01-08-20
Apple's stock has now doubled in the past year; App Store holiday sales rose 'impressive' 16%,01-08-20
"Reuters: Apple, Google in talks with NFL to stream London games",01-08-16
Apple Watch control coming to Whirlpool appliances; KeyBanc sees poor iPhone X sales,01-08-18
Sector Update: Consumer Discretionary Stocks Outperforming Monday,01-08-18
4 Stocks Your Financial Advisor Is Looking To Buy Now,01-08-20
Stocks: Bull or Bubble?,01-08-20
"Cook: Apple ""underappreciated"" by Street",01-08-19
Apple Shareholders Urge Company to Develop Software to Limit Children's iPhone Usage,01-08-18
Jim Cramer: Resilience and Complacency Define Our Moment,01-08-20
Apple’s App Sales Hit Record $1.4 Billion in Final Days of 2019,01-08-20
UBS: Apple could repurchase $122B through 2019,01-08-18
Apple +1.4% after record year-end App Store sales,01-08-20
Sector Update: Consumer Shares Scratch Out Small Rise,01-08-18
"Market Chatter: French Prosecutors Open ""Planned Obsolescence"" Investigation into Apple",01-08-18
Stocks Climbs for Third Straight Day as US-China Trade Negotiations Bolster Sentiment,01-08-19
US Indexes Regain Some Losses to Close Higher Wednesday,01-08-20
Stock Market Roars Back After Trump Iran Speech But Fade Late; FANG Stocks Show Some Bite,01-08-20
"Report: Apple working on wireless Beats headphones, removing 3.5mm iPhone headphone jack",01-08-16
"Stocks End Higher After Trump Says Iran ""Standing Down"" After Attacks on Iraqi Bases",01-08-20
Apple/5G: speed freaks,01-09-20
Stocks - Wall Street to Post Strong Gains at Open,01-09-20
"Greenpeace Calls Out Alibaba, Tencent in First China Ranking",01-09-20
"iPhone Hits Double-Digit Growth in China, Official Data Show",01-09-20
Tim Cook discusses Apple's focus and future,01-09-19
"Market Chatter: TiVo Streaming App for Roku, Apple TV 'in Limbo'",01-09-20
Pre-Market Briefing: US Equities Futures Edge Higher on Global Optimism,01-09-18
Apple pledges better parental control features,01-09-18
Market Chatter: Apple Reportedly Cuts Production Plan For New iPhones by 10% as Weaker Chinese Demand Bites,01-09-19
Reports of iPhone production cut for Q1,01-09-19
Apple's iPhone sales in China up 18% in December - government data,01-09-20
"For Dividend Growth, Consider Health-Care and Tech Stocks",01-09-20
"Market Morning: Bernanke Goes Negative, Apple App Bonanza, Tesla To the Stratosphere",01-09-20
Apple’s stock has now doubled in a year amid ‘impressive’ App Store sales data,01-09-20
Public Tech Displaces Private Unicorns as Market Stars,01-09-20
Apple Responds to Shareholder Parental Control Concerns; Says 'Effectively Anything' on iOS Can Be Blocked By Parents,01-09-18
Apple iPhone sales in China score big jump,01-09-20
Tesla Isn’t The Most Valuable American Car Company Yet,01-09-20
Sector Update: Tech,01-09-18
Streaming Competition Intensifies as TiVO Jumps on Bandwagon,01-09-20
Global EV Demand Drives Scramble for Fresh Supplies of Vital Metals,01-09-19
Sector Update: Tech,01-09-17
"Alphabet Charged by Sono for Patent Violation, Files Suit",01-09-20
"Tempur Sealy, Fiat Chrysler Automobiles, Spotify, Apple and Amazon highlighted as Zacks Bull and Bear of the Day",01-09-20
Sector Update: Technology Stocks Higher in Pre-Market Trading; Apple Addresses iOS Parental Control Concerns,01-09-18
Market Chatter: Qualcomm Calls Apple CEO Tim Cook's Remarks on Settlement Talks 'Misleading',01-09-19
Sector Update: Technology Stocks Mostly Higher In Pre-Market Trade,01-09-17
Sector Update: Tech Giants Climb Pre-Market Thursday,01-09-20
Sector Update: Tech Stocks Climbing in Pre-Market Trading Wednesday,01-09-19
"Zacks Market Edge Highlights: Sony, Square, NVIDIA, Lululemon and Apple",01-09-20
CES 2020 Sees Launch of Innovative PCs: Stocks to Watch,01-09-20
Should Franklin LibertyQ U.S. Equity ETF (FLQL) Be on Your Investing Radar?,01-09-20
"Thinking about buying stock in Apple, Kohl's, Rite Aid, Square, or Wix.Com?",01-09-20
"Covered-Call Reports for Apple, Facebook, Oracle Corporation, Pandora, and AT&T",01-09-17
Why a ‘battle-weary’ Tesla enthusiast is now telling investors to move to the sidelines,01-09-20
Jefferies matches Street-high target for Apple,01-09-20
"Dow up 119 points on gains in Apple Inc., Coca-Cola stocks",01-09-20
Street Color: Apple Gets Focus from Morgan Stanley - Pegs Catalysts,01-09-17
This Day In Market History: Apple Introduces The iPhone,01-09-20
"Equities Head for Record Highs as Geopolitical Tensions Ease, Tech Gains Bolster US Measures",01-09-20
Apple’s Cook Set For Irish Award After Years Of Tax Disputes,01-09-20
"Apple and Tesla hit new highs after big holiday pushes, but analysts are still finding reasons to be wary",01-09-20
"Apple (AAPL) Witnesses Strong Momentum in App Store, Services",01-09-20
Whoops — global fund managers had a record underweight on Apple last year,01-09-20
"Dow climbs nearly 200 points on gains in Apple Inc., Goldman Sachs stocks",01-09-20
"Main Street's Index, the BetterInvesting 100, Increased 11.5% a Year for 10 Years Through December, Beating Its S&P Benchmark",01-09-18
Apple Shares Gain as China iPhone Sales Rise in December,01-09-20
"Energy Shares Weigh on Dow, Nasdaq Sets Record High",01-09-17
"World’s Most Bearish Fund Hates Tesla, Apple But Likes This Stock",01-09-20
"Verizon, Breaker of the Cable Bundle? Not Really",01-09-20
Skyworks Solutions Price Target Lowered by Canaccord Analysts Amid Weak Smartphone Sales,01-09-19
"Apple's Services decline temporary, says bull",01-09-19
Apple a top pick at Morgan Stanley,01-09-17
Midday Update: Oil Stocks Tug on Dow,01-09-17
Sector Update: Tech Stocks Still Unable to Break on to Positive Ground,01-09-18
Apple's stock gaps up to another record after upbeat data on China iPhone sales,01-09-20
Apple Analyst Warns Not To Expect 2019-Like Returns In 2020,01-09-20
"Stock Market Rushes To New High As Dow Rallies 200 Points, Apple Scores Again",01-09-20
SNACS: The FAANG Of The Roaring 20s,01-09-20
"HSBC Slashes Apple's Price Target to $160 While Keeping Hold Rating, Blaming Intensity of China Issues",01-09-19
"--Analyst Actions: Jefferies Raises Apple's Price Target to $350 From $285, Maintains Buy Rating",01-09-20
"--Analyst Actions: Longbow Research Raises Apple's Price Target to $345 From $300, Maintains Buy Rating",01-09-20
Sector Update: Narrow Decline for Tech Stocks Today,01-09-18
"Analyst Actions: Barclays Sees Skyworks Solutions March Guidance Risk, Cuts PT to $75, Keeps at Overweight - Stock Up 4%",01-09-19
"Dow sets second record close of 2020 as stocks rally on trade optimism, fading Mideast tensions",01-09-20
"Lumentum Stock: Apple iPhone Business Key To Valuation, Says Analyst",01-09-20
Stocks soar to record close as investor focus shifts back to trade,01-09-20
"Stocks End Higher on US-China Trade Deal, Easing Mideast Tensions",01-09-20
The Dow Rose 212 Points Because a China Trade Deal Trumps Iran Risk,01-09-20
US Indexes Close Higher Again on Thursday,01-09-20
Should You Invest in Factor & Smart Beta ETFs?,01-09-20
3 Semiconductor Stocks to Buy in January for 2020 Growth,01-09-20
"Apple Stole Tech for Watch, Masimo Claims in Patent Suit",01-09-20
Apple’s heady rise highlights perils of concentration,01-09-20
Apple seeks to expand manufacturing in Arizona,01-10-17
"How 5G Will Affect the Fortunes of Apple, Amazon, Microsoft and the Rest of Big Tech",01-10-20
Market Chatter: Masimo Sues Apple for Infringing on Patents,01-10-20
"Pre-market Movers - Eli Lilley, Boeing in View",01-10-20
Apple Extends Record Run as China iPhone Sales Surge,01-10-20
Top 2019 Stock Picker Spotted Under-the-Radar Tech,01-10-20
"18% More iPhones Shipped to China, and More Numbers to Know",01-10-20
Big Tech and the law must learn to work together,01-10-20
Hong Kong Hang Seng Up 0.20% in Mixed Action for 12th-Straight Trading Day of Gains,01-10-18
"Hong Kong Hang Seng Edges Forward 0.22% on Trade, Fed Outlook",01-10-19
