id,saleprice,overall_qual,year_built,year_remod/add,total_bsmt_sf,1st_flr_sf,gr_liv_area,full_bath,garage_area
912,135000,4,1928,1950,1122.0,1328,1981,3.0,576.0
2351,250000,7,1978,1978,1392.0,1392,2784,4.0,564.0
330,76000,4,1970,1970,546.0,546,1092,1.0,0.0
2586,155000,6,1951,1951,216.0,1575,1575,1.0,400.0
224,158000,6,1969,1969,663.0,663,1352,1.0,299.0
98,149500,7,2004,2005,600.0,600,1200,3.0,480.0
2565,121000,5,1954,1975,936.0,936,936,1.0,240.0
1934,136000,6,1953,1953,1040.0,1040,1040,1.0,293.0
997,173000,6,1996,1996,916.0,916,1636,2.0,386.0
64,290000,8,1999,2007,1152.0,1164,2270,2.0,671.0
1799,303477,8,2007,2007,1184.0,1184,2610,2.0,550.0
230,270000,7,1977,2001,1420.0,1483,1483,2.0,690.0
1295,122250,5,1920,1950,936.0,960,1740,1.0,225.0
638,153000,5,1955,1955,1382.0,1382,1382,1.0,350.0
2278,147000,5,2007,2007,1120.0,1120,1120,1.0,0.0
2202,148500,7,1930,1995,531.0,567,1098,2.0,216.0
2833,130000,7,2004,2004,976.0,976,1708,2.0,380.0
1707,372000,9,2006,2006,1802.0,1802,1802,2.0,843.0
2428,213490,7,2005,2005,1362.0,1506,1506,2.0,440.0
242,308030,7,2009,2010,1508.0,1508,1508,2.0,572.0
1564,300000,7,1996,1997,1840.0,2032,2032,4.0,786.0
2613,159500,6,1959,1959,655.0,1194,1194,1.0,539.0
2832,137500,7,2004,2004,970.0,970,1709,2.0,380.0
2459,232000,7,2005,2005,1616.0,1616,1616,2.0,834.0
1360,93850,6,1930,1950,768.0,768,768,1.0,440.0
2723,105000,5,1924,1950,872.0,872,872,1.0,322.0
1350,68500,4,1927,1950,520.0,520,520,1.0,240.0
136,154300,5,1960,1960,1105.0,1105,2274,2.0,480.0
2235,129850,5,1925,2003,936.0,936,1601,2.0,0.0
1993,114000,5,1910,1950,616.0,616,1232,1.0,480.0
367,501837,9,2008,2009,2216.0,2234,2234,3.0,1166.0
1309,153900,5,1915,1950,876.0,876,1416,1.0,720.0
402,130000,4,1971,2006,864.0,864,864,1.0,576.0
1592,160500,6,1997,1997,1189.0,1189,1189,3.0,392.0
2409,310090,9,2006,2006,1666.0,1666,1666,3.0,575.0
539,184900,7,2003,2003,1176.0,1200,1200,3.0,555.0
1940,132000,5,1956,2000,928.0,928,928,1.0,252.0
588,163000,5,1969,1969,1288.0,1336,1336,2.0,502.0
96,155000,7,2004,2004,600.0,600,1200,2.0,480.0
1187,183000,6,1969,1969,1427.0,1427,1427,2.0,516.0
2154,211000,7,1996,2002,860.0,1212,1992,3.0,608.0
550,184000,7,1994,1994,754.0,754,1540,3.0,495.0
811,118858,5,1979,1979,0.0,1535,1535,2.0,400.0
124,180500,5,1964,1964,1152.0,1152,1152,2.0,484.0
1836,166000,8,2006,2007,1141.0,1151,1151,3.0,484.0
779,148000,6,1960,1960,1138.0,1138,1138,1.0,480.0
1886,124000,5,1956,1956,894.0,1074,1074,1.0,396.0
1724,277500,9,2005,2005,1561.0,1561,1561,3.0,556.0
2450,350000,8,1995,1995,1342.0,1358,2726,2.0,725.0
1013,387000,9,2004,2004,1884.0,1884,1884,3.0,670.0
2084,86000,4,1920,2002,528.0,605,605,2.0,0.0
1184,290000,8,1976,2007,1426.0,1671,1671,4.0,550.0
728,44000,3,1900,1950,245.0,797,797,1.0,0.0
950,215000,6,2001,2002,804.0,804,1961,3.0,560.0
2524,146500,5,1972,1972,1153.0,1193,1193,3.0,501.0
2513,165000,7,2000,2000,673.0,673,1382,3.0,490.0
2028,136000,6,1916,1950,714.0,1664,2526,2.0,216.0
2309,252000,6,1957,1957,1705.0,1390,1390,2.0,550.0
51,175500,7,2003,2003,764.0,764,1626,2.0,474.0
699,150000,5,1939,1950,690.0,868,1558,1.0,400.0
1881,139900,5,1960,1978,978.0,1422,1422,1.0,286.0
1345,162900,5,1930,1992,1078.0,1128,1573,2.0,360.0
166,160000,6,1962,1962,1116.0,1116,1116,1.0,440.0
781,63900,2,1947,1950,0.0,660,660,1.0,0.0
379,184000,6,1978,1998,1140.0,1707,1707,2.0,479.0
2818,149900,5,1959,1959,1466.0,1466,1466,1.0,528.0
1168,300000,9,2000,2000,1614.0,1638,1638,3.0,495.0
1396,145000,5,1960,1960,988.0,1721,1721,3.0,626.0
838,231500,6,1997,1997,928.0,928,1764,3.0,470.0
1492,108000,5,1940,1969,996.0,996,996,2.0,0.0
637,120000,5,1956,1956,1202.0,1202,1202,1.0,304.0
1826,128500,5,1961,1961,988.0,988,988,2.0,572.0
173,115000,5,1927,1950,1008.0,1028,1028,1.0,360.0
715,110000,5,1947,1950,720.0,720,1284,1.0,240.0
1183,150000,9,1977,1977,994.0,1599,2944,2.0,864.0
2433,178000,8,2004,2004,707.0,707,1414,2.0,403.0
2866,199500,7,1932,1990,637.0,959,1609,1.0,579.0
2311,183500,6,1997,1998,813.0,813,1525,3.0,400.0
1551,126000,5,1967,1967,624.0,1092,1656,1.0,288.0
1049,148500,7,1977,1977,1055.0,1055,1055,2.0,440.0
657,149000,5,1939,2006,676.0,676,1352,2.0,720.0
414,137900,6,1977,1977,855.0,855,1456,2.0,440.0
1181,324000,8,1993,1993,1719.0,1719,1719,3.0,473.0
1514,98000,5,1925,1950,864.0,864,864,2.0,0.0
1040,103400,6,1973,1973,483.0,483,987,1.0,264.0
216,94000,5,1875,1996,780.0,780,1020,1.0,0.0
1720,209500,8,2006,2006,1554.0,1554,1554,2.0,627.0
2331,545224,10,2006,2006,1528.0,1528,3390,3.0,758.0
204,159900,6,1912,2009,780.0,780,1560,1.0,0.0
19,141000,4,1951,1951,864.0,864,864,1.0,400.0
2438,215000,6,2000,2000,982.0,1008,1889,2.0,431.0
89,127000,5,1962,2010,1040.0,1040,1040,2.0,260.0
240,128000,5,1954,1998,1172.0,1172,1172,2.0,366.0
105,267916,8,2010,2010,1642.0,1418,1418,2.0,852.0
2020,127500,6,1931,1950,884.0,959,1367,1.0,560.0
888,198500,7,2003,2003,0.0,495,1922,3.0,672.0
1019,175500,6,1981,1981,1422.0,1422,1422,2.0,576.0
2132,217500,7,2000,2000,985.0,985,1842,3.0,486.0
203,149500,4,1915,1950,888.0,888,1962,1.0,572.0
420,148800,5,1966,2004,864.0,1120,1120,1.0,656.0
2333,556581,9,2005,2006,1992.0,1992,2868,3.0,716.0
632,156500,6,1957,1957,1478.0,1478,1478,2.0,442.0
2800,237000,7,1995,1996,930.0,950,1995,3.0,610.0
1885,120000,5,1958,1985,912.0,912,912,1.0,297.0
1734,203000,6,2005,2005,1326.0,1326,1326,3.0,388.0
2327,130000,8,1987,1987,1191.0,1204,1204,2.0,461.0
1282,167900,6,1964,1964,780.0,798,1611,2.0,442.0
2688,129000,4,1970,1970,960.0,960,960,2.0,576.0
2581,134450,5,1957,1996,1070.0,1236,1236,1.0,447.0
2067,112000,5,1918,2007,816.0,1416,1416,2.0,576.0
2115,207000,7,1988,1988,929.0,946,1873,3.0,619.0
754,62500,5,1922,1950,1040.0,1088,2128,2.0,0.0
1079,154000,7,2003,2004,764.0,764,1626,3.0,474.0
2615,129900,5,1957,1957,816.0,816,816,2.0,308.0
329,85000,5,1976,1976,536.0,536,1112,1.0,336.0
1320,116900,7,1926,1950,572.0,572,1111,1.0,288.0
416,148500,6,1978,1978,855.0,855,1441,2.0,440.0
284,80000,4,1941,1950,672.0,672,924,2.0,280.0
1385,152000,5,1984,1984,1060.0,1126,1126,2.0,506.0
275,155891,5,1954,1954,381.0,992,992,1.0,319.0
2024,165000,6,1920,1950,768.0,752,1376,1.0,576.0
68,204500,7,2009,2010,1218.0,1218,1218,2.0,676.0
1910,146500,5,1942,1995,728.0,888,1644,1.0,312.0
381,157000,7,1978,1978,1271.0,1601,1601,2.0,478.0
1323,184000,7,1890,1999,1313.0,1313,2495,2.0,342.0
2432,183200,6,2002,2003,783.0,807,1509,3.0,393.0
777,139000,5,1962,1962,1092.0,1092,1092,1.0,288.0
1107,341000,7,1993,1994,1311.0,1325,2418,3.0,983.0
30,96000,6,1971,1971,483.0,483,987,1.0,264.0
282,140000,4,2003,2004,1121.0,1121,1121,2.0,440.0
188,149700,6,1957,1996,912.0,1236,1236,2.0,923.0
2356,153500,5,1975,1975,1056.0,1074,1074,2.0,495.0
1554,13100,1,1952,1952,0.0,733,733,1.0,487.0
1464,224900,7,2003,2003,884.0,884,1768,3.0,543.0
2469,176000,7,2005,2005,1257.0,1266,1266,2.0,453.0
1834,285000,8,1992,2000,1683.0,2129,2872,2.0,541.0
1779,282922,8,2007,2007,1485.0,1464,1464,3.0,754.0
2569,226000,7,1966,1966,924.0,1216,2157,2.0,487.0
2334,361919,8,2006,2006,1234.0,1264,2576,2.0,666.0
2330,457347,9,2005,2006,1398.0,1414,2798,4.0,670.0
2119,279000,8,1976,1976,966.0,1743,1743,2.0,529.0
988,196000,6,1977,1977,1567.0,1567,1567,3.0,714.0
382,152000,7,1976,1976,1090.0,1370,1370,2.0,479.0
670,200000,5,1969,1969,1248.0,1338,2634,3.0,968.0
2760,294900,8,2005,2006,1570.0,1590,1590,3.0,754.0
543,224243,7,2008,2009,1450.0,1450,1450,2.0,788.0
2835,92000,6,1915,1950,832.0,846,1338,2.0,528.0
1735,179540,7,2007,2007,728.0,728,1456,2.0,400.0
448,386250,10,2003,2003,2392.0,2392,2392,2.0,968.0
2287,106500,4,1970,1970,530.0,530,992,2.0,297.0
524,310000,10,2008,2008,1017.0,1026,2007,3.0,812.0
1767,252000,7,1998,1998,1066.0,1108,2385,2.0,600.0
2206,164000,7,1941,1950,918.0,918,1646,2.0,240.0
1740,177594,7,2007,2007,728.0,728,1456,2.0,400.0
199,123900,5,1936,1980,528.0,548,1040,1.0,624.0
2214,239000,6,1918,1950,1370.0,1370,2624,3.0,864.0
323,169000,5,1965,1977,1068.0,1264,1264,2.0,528.0
2421,234000,7,2003,2004,1374.0,1557,1557,2.0,420.0
952,173000,6,1977,1977,957.0,1287,1287,2.0,541.0
24,149000,6,1970,1970,1004.0,1004,1004,2.0,480.0
1139,170000,7,2007,2007,1162.0,1162,1162,2.0,483.0
518,225000,7,2008,2009,1436.0,1436,1436,2.0,529.0
1390,144900,5,1963,2003,960.0,960,960,2.0,300.0
277,144000,5,1968,1968,1196.0,1196,1196,2.0,336.0
54,192000,8,2004,2005,1256.0,1269,1269,2.0,430.0
649,145500,5,1952,2005,1031.0,1031,1031,2.0,230.0
2600,86900,4,1900,1998,448.0,448,720,1.0,280.0
617,149500,6,1953,1953,1505.0,1505,1505,2.0,505.0
2209,119750,5,1938,1950,920.0,954,954,1.0,240.0
2814,173900,6,2005,2006,750.0,750,1500,2.0,564.0
2542,136500,5,1961,1961,1050.0,1050,1050,2.0,368.0
2323,270000,8,1994,1994,2062.0,2079,2687,2.0,618.0
1393,235000,6,1960,1975,1602.0,1252,1252,2.0,564.0
490,156000,7,1999,2000,384.0,774,1430,2.0,400.0
542,153000,5,2003,2004,1114.0,1114,1114,3.0,576.0
973,165000,6,1999,1999,1224.0,1224,1224,3.0,402.0
1012,325000,9,2005,2007,1122.0,1134,2504,2.0,656.0
2218,140000,5,1941,1950,728.0,760,1355,2.0,528.0
2033,202500,6,1963,1963,741.0,1497,2294,3.0,658.0
1071,367294,9,2008,2008,1702.0,1702,1702,2.0,1052.0
1583,175000,6,1988,1989,1461.0,1509,1509,3.0,600.0
2858,140000,7,1915,1970,756.0,961,1717,2.0,642.0
2265,174000,7,1985,1985,1265.0,1240,1240,2.0,528.0
1088,190000,7,2005,2005,856.0,1166,1166,3.0,400.0
698,129000,5,1910,2002,504.0,764,1464,2.0,0.0
1896,200000,6,1959,1991,1592.0,1652,1652,2.0,510.0
628,193500,6,1968,1968,896.0,1182,2142,2.0,509.0
1212,145000,6,1964,1964,1092.0,1092,1092,2.0,504.0
2864,218000,7,1929,1950,1022.0,1122,1671,2.0,451.0
2740,135000,5,1952,2002,0.0,1488,1488,1.0,569.0
2560,146500,5,1952,1952,1444.0,1624,1624,2.0,240.0
1716,194700,6,2005,2006,1362.0,1362,1362,2.0,460.0
1130,230348,7,2007,2008,1218.0,1218,1218,3.0,462.0
201,109500,6,1923,1950,1124.0,1068,1068,2.0,288.0
2886,242500,6,1979,1979,1625.0,1625,1625,2.0,576.0
2328,239000,7,1987,1987,1064.0,1064,1767,3.0,504.0
2583,156000,6,1954,2000,1050.0,1050,1050,2.0,286.0
1206,109008,4,1957,1957,907.0,907,907,1.0,352.0
2242,68104,2,1939,1950,0.0,640,845,1.0,256.0
1105,290000,8,1995,1995,1242.0,1251,2501,2.0,751.0
121,159000,5,1966,1966,1209.0,1209,1209,2.0,504.0
1223,87000,4,1937,1950,348.0,453,906,1.0,231.0
265,272000,8,2001,2002,1581.0,1601,1601,3.0,670.0
2813,198000,7,2005,2006,1336.0,1336,1336,3.0,502.0
1294,119164,4,1940,1985,801.0,1095,1656,2.0,440.0
2745,93000,5,1954,1954,0.0,1124,1124,1.0,0.0
1094,226750,7,2000,2001,982.0,1008,1892,2.0,431.0
651,95000,3,1900,1970,978.0,1014,1699,3.0,420.0
198,139900,6,1948,1950,780.0,780,1416,1.0,312.0
131,76500,3,1940,1966,728.0,1306,1306,1.0,0.0
1258,86900,4,1940,2005,672.0,672,672,1.0,308.0
1599,152500,5,1968,1968,1113.0,1160,1160,2.0,257.0
1508,99000,4,1953,1953,911.0,930,930,1.0,286.0
615,82500,4,1940,1950,420.0,708,708,1.0,0.0
1815,179200,6,1992,1992,1575.0,1575,1575,3.0,529.0
2712,142500,5,1966,1966,1059.0,1059,1059,2.0,286.0
2051,115400,4,1964,1964,1005.0,1005,1005,2.0,440.0
1863,226000,7,2001,2001,1057.0,1057,1929,3.0,650.0
2510,144152,7,2005,2005,600.0,520,1200,2.0,480.0
1069,370000,8,2003,2003,1765.0,1804,2690,2.0,795.0
336,149900,5,1984,1984,833.0,833,833,2.0,495.0
2417,172785,6,2006,2006,728.0,728,1456,2.0,429.0
1962,129000,5,1950,2002,864.0,864,864,2.0,720.0
372,181000,6,1979,1998,1362.0,1586,1586,2.0,435.0
2578,148000,5,1956,1956,1058.0,1370,1370,2.0,300.0
2824,117250,6,2002,2002,914.0,914,914,2.0,0.0
471,192500,7,2005,2006,1373.0,1555,1555,2.0,430.0
1544,151000,6,1980,1980,716.0,716,1556,3.0,452.0
2141,112500,5,1972,1972,882.0,882,882,2.0,461.0
2008,144000,5,1920,1950,915.0,1167,1167,1.0,495.0
1075,370967,9,2007,2008,1800.0,1800,1800,3.0,944.0
34,149900,6,1975,1975,855.0,855,1456,2.0,440.0
847,195000,7,2002,2002,831.0,831,1660,2.0,493.0
1629,163900,7,1992,1992,384.0,812,1482,2.0,392.0
2073,182000,6,1984,1984,1190.0,1522,1522,2.0,552.0
960,410000,9,2008,2008,2190.0,2036,2036,3.0,780.0
955,152000,5,1991,1991,1582.0,1595,1595,3.0,672.0
2476,184000,7,2005,2005,891.0,891,1686,2.0,462.0
1590,206300,7,1997,1998,1344.0,1344,1344,4.0,784.0
2913,146500,5,1970,1970,1652.0,1652,1652,2.0,928.0
149,108000,4,1956,1956,832.0,832,1337,1.0,263.0
2525,170000,7,1968,1992,570.0,1222,1920,3.0,487.0
1470,145000,6,2004,2004,848.0,848,848,2.0,420.0
412,123000,7,1975,1975,1057.0,1055,1055,2.0,440.0
1399,173000,6,1996,1997,1291.0,1291,1291,2.0,431.0
183,105900,6,1928,2003,624.0,720,720,1.0,484.0
974,91000,4,1973,1973,462.0,526,988,2.0,297.0
930,158000,5,1949,2005,1067.0,986,1523,3.0,295.0
881,190000,7,2004,2004,864.0,864,1728,2.0,572.0
1180,217500,8,1995,1995,1230.0,1239,1239,2.0,477.0
1553,165500,5,1958,1958,1151.0,1151,1955,2.0,356.0
928,174500,7,1941,1950,704.0,860,1564,1.0,234.0
1512,100000,4,1954,1954,416.0,1204,1204,1.0,312.0
3,172000,6,1958,1958,1329.0,1329,1329,1.0,312.0
2140,120000,5,1975,1975,864.0,879,879,1.0,440.0
553,82000,4,1950,1950,721.0,841,841,1.0,294.0
2594,127000,6,1947,1950,784.0,900,1312,1.0,649.0
1314,129500,6,1917,1950,735.0,1134,2058,1.0,396.0
366,187500,8,1984,1984,1220.0,1360,1360,2.0,565.0
1462,300000,8,2002,2003,1778.0,1786,1786,3.0,715.0
2541,190000,6,1971,1971,825.0,1097,1993,2.0,495.0
2088,96000,4,1920,1950,951.0,986,1362,2.0,280.0
527,241000,7,2006,2007,1092.0,1112,1550,3.0,438.0
1824,143900,5,1962,1962,1140.0,1696,1696,1.0,349.0
2918,87550,4,1970,1970,546.0,546,1092,1.0,286.0
49,319900,9,2005,2005,1752.0,1752,1752,3.0,576.0
2332,356383,9,2006,2006,1094.0,1102,2473,2.0,675.0
826,239000,9,2007,2007,1800.0,1800,1800,2.0,702.0
1108,287500,7,1993,1994,1080.0,1108,2197,3.0,783.0
2041,128500,5,1941,1950,720.0,854,1382,1.0,660.0
57,185088,7,2004,2004,847.0,847,1733,2.0,433.0
520,229800,7,2008,2008,1402.0,1402,1402,2.0,625.0
2305,124500,5,1984,1984,864.0,887,887,1.0,288.0
2533,142000,5,1968,1968,1051.0,1051,1051,2.0,504.0
2852,149000,6,1920,1950,755.0,755,1510,1.0,216.0
1198,135000,5,1973,1973,1656.0,1656,1656,2.0,506.0
1681,128000,6,1976,1976,1078.0,958,958,2.0,440.0
1773,430000,8,1992,1993,3200.0,3228,3228,4.0,546.0
1825,145000,5,1968,1968,1040.0,1040,1040,2.0,686.0
2208,139000,5,1910,2003,661.0,661,1250,2.0,552.0
1646,178000,6,1984,2003,585.0,1140,1868,3.0,477.0
1060,460000,10,2005,2006,1620.0,1632,2790,3.0,1150.0
748,214500,6,1916,1994,844.0,1445,2134,2.0,441.0
2846,160000,5,1916,1995,686.0,948,1928,2.0,0.0
493,214000,7,1999,1999,992.0,1022,2060,3.0,390.0
694,128900,6,1935,1998,901.0,861,1378,1.0,162.0
2283,168000,4,1961,1975,1249.0,1622,1622,2.0,1356.0
1800,310013,8,2007,2007,955.0,955,1880,3.0,880.0
1632,170000,8,1986,1986,1074.0,1088,1088,1.0,461.0
2624,133700,5,1959,1959,1040.0,1040,1040,1.0,286.0
2197,165000,6,1923,1996,602.0,900,1502,1.0,180.0
1045,89500,6,1971,1971,483.0,483,987,1.0,264.0
2549,140000,6,1958,1958,588.0,1095,1095,2.0,264.0
2829,134000,7,2004,2004,970.0,970,1709,2.0,380.0
2480,248500,6,1992,1993,836.0,844,1731,3.0,462.0
2724,145000,4,1965,2001,648.0,960,960,1.0,364.0
2352,179900,6,1975,1975,713.0,811,1552,3.0,434.0
1783,147000,8,2006,2007,1795.0,1795,1795,2.0,895.0
338,136000,5,1991,1991,624.0,624,1274,1.0,576.0
196,128000,6,1940,1950,572.0,848,1196,1.0,576.0
762,88750,4,1946,2001,560.0,704,704,1.0,220.0
151,122500,5,1955,1955,972.0,972,972,1.0,305.0
158,97500,6,1948,1950,912.0,912,1458,1.0,330.0
2572,135000,6,1963,1963,1008.0,1008,1008,1.0,430.0
1686,314813,9,2007,2007,1822.0,1828,1828,2.0,774.0
943,85000,3,1915,1982,1013.0,1013,1526,1.0,0.0
735,134900,6,1937,2000,698.0,786,1176,1.0,624.0
2741,137000,5,1955,1999,1057.0,1057,1057,1.0,288.0
1106,350000,8,1995,1995,2109.0,2113,2113,3.0,839.0
2375,145000,5,1967,1975,943.0,1387,1387,2.0,300.0
1701,418000,9,2005,2006,1704.0,1722,2758,2.0,814.0
2657,64000,3,1920,1950,798.0,840,840,1.0,250.0
907,159434,5,1932,2000,793.0,848,1520,1.0,281.0
1777,260261,8,2007,2007,1542.0,1542,1542,3.0,852.0
164,166000,5,1952,1952,910.0,910,1385,2.0,720.0
1973,130000,5,1962,1962,896.0,936,936,2.0,288.0
2857,112000,5,1941,1950,824.0,824,1288,1.0,240.0
1208,155000,5,1963,1963,1120.0,1128,1128,3.0,525.0
319,269500,8,2009,2010,774.0,774,1968,2.0,680.0
2567,172000,6,1964,1964,1246.0,1246,1246,2.0,441.0
2222,219500,7,1940,1984,800.0,960,1740,1.0,240.0
2493,133500,5,1963,1963,925.0,925,925,2.0,484.0
1757,170000,7,2000,2000,384.0,774,1430,2.0,400.0
184,150000,8,1900,2003,930.0,930,1566,2.0,288.0
1248,130000,5,1953,1953,984.0,950,950,1.0,400.0
2574,143000,5,1959,1959,1144.0,1144,1144,2.0,796.0
1215,140000,5,1961,1961,1114.0,1114,1114,2.0,451.0
1614,244000,7,1973,1973,2223.0,2223,2223,3.0,516.0
2039,101000,5,1920,1996,530.0,581,1111,1.0,288.0
2669,125000,5,1958,1958,960.0,960,960,1.0,624.0
1005,183000,6,1998,1998,932.0,932,1633,2.0,460.0
753,104000,6,1912,1950,755.0,929,2229,1.0,0.0
1275,112500,6,1954,1954,936.0,984,984,2.0,280.0
2350,207500,6,1980,1980,1686.0,1686,1686,3.0,612.0
2762,225000,7,2005,2005,1614.0,1614,1614,2.0,576.0
2788,119900,5,1972,1972,864.0,864,864,1.0,297.0
2384,293000,7,2006,2006,1721.0,1740,1740,2.0,874.0
2716,180000,5,1968,1993,1461.0,1721,1721,2.0,440.0
313,169900,6,1976,1976,1012.0,1034,1034,2.0,888.0
84,112000,6,1978,1978,0.0,1318,1902,2.0,539.0
81,152000,6,1984,1985,1040.0,1097,1097,2.0,480.0
2389,300000,9,2005,2006,1090.0,1117,2206,2.0,670.0
280,107000,6,1976,1976,1029.0,1117,1117,2.0,672.0
190,122500,4,1885,1950,777.0,1246,2290,2.0,560.0
2371,89000,6,1972,1972,483.0,483,948,1.0,264.0
213,95000,6,1940,1950,600.0,600,919,1.0,231.0
1864,143450,6,1968,1968,912.0,1152,1152,2.0,412.0
37,376162,9,2009,2010,1590.0,1627,2334,2.0,751.0
146,167500,5,1960,1960,1268.0,1264,1264,2.0,461.0
809,153337,5,1979,1979,1086.0,1224,1224,2.0,528.0
767,103600,6,1925,1950,672.0,697,1369,3.0,300.0
262,128200,5,1976,1976,894.0,894,894,2.0,308.0
101,177500,6,2000,2000,756.0,769,1573,2.0,440.0
48,320000,8,2002,2002,1671.0,1687,2250,3.0,756.0
489,190000,6,2000,2000,794.0,819,1514,3.0,394.0
2369,91500,6,1971,1971,672.0,672,1218,1.0,0.0
707,93000,5,1954,1954,811.0,811,1387,2.0,256.0
1556,40000,4,1920,1950,649.0,649,1317,1.0,250.0
2034,127000,6,1914,2006,684.0,773,1355,1.0,0.0
308,50138,4,1896,1950,756.0,952,952,1.0,330.0
2176,148000,6,1976,1976,1143.0,1113,1113,2.0,504.0
1549,120500,5,1940,1955,740.0,778,778,1.0,924.0
909,139500,6,1940,1950,778.0,944,1489,2.0,240.0
892,320000,9,2007,2008,1698.0,1698,1698,3.0,768.0
2045,219000,7,1937,1980,1005.0,1262,2267,2.0,498.0
2927,131000,5,1983,1983,864.0,902,902,2.0,484.0
1732,171925,6,2006,2006,738.0,738,1495,2.0,440.0
998,177900,5,1996,1997,1348.0,1384,1384,3.0,404.0
2203,141500,6,1921,1950,585.0,851,1436,1.0,228.0
356,191000,6,1998,1999,952.0,952,1636,3.0,440.0
2475,158000,6,2004,2004,1158.0,1158,1158,2.0,576.0
2264,248900,8,2006,2007,1638.0,1646,1646,2.0,870.0
2201,175000,5,1937,1950,731.0,981,1768,2.0,240.0
2545,185900,6,1965,2000,1187.0,1565,1565,3.0,299.0
2660,163000,7,1914,1970,880.0,880,1768,1.0,320.0
2882,115000,5,1951,1951,660.0,1060,1396,2.0,0.0
1379,157500,6,1978,1978,1008.0,1096,1096,2.0,484.0
491,245000,7,1999,1999,1177.0,1223,2312,3.0,658.0
1002,180000,8,1993,1993,1337.0,1337,1337,3.0,462.0
1848,148800,7,2004,2004,551.0,551,1102,2.0,480.0
1455,237000,8,2002,2002,1128.0,1128,2031,3.0,577.0
908,60000,2,1920,1950,290.0,438,438,1.0,246.0
1490,165000,5,1976,1976,456.0,1033,1033,1.0,504.0
1465,240000,7,2003,2003,1129.0,1129,2327,2.0,596.0
1627,160000,7,1992,1993,1168.0,1187,1187,2.0,420.0
2849,128000,6,1945,1950,780.0,816,1340,2.0,440.0
1501,82000,4,1955,1955,0.0,1152,1152,2.0,0.0
626,256000,6,1966,2008,1562.0,1567,1567,3.0,542.0
722,143000,7,1920,1988,650.0,832,1482,1.0,324.0
